,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,popular,revolution,revolutionary,movement,list,title,people,organization,political,art,masse,action,development,program,state,national,create,democratic,economic,executive
1,federal,law,state,art,member,government,president,court,matter,council,authority,provincial,administration,provision,province,house,right,public,executive,diet
2,law,public,art,heinonline_english,translation,court,establish,nation,provision,municipality,panama,national,council,case,official,social,body,municipal,republic,manner
3,people,president,majlis,office,member,law,person,commission,maldives,right,court,state,accordance,general,speaker,cabinet,responsibility,election,duty,hold
4,law,power,assembly,member,court,right,public,office,president,state,national,general,case,person,federal,organization,legislative,people,year,art
5,law,cortes,council,state,th,government,head,spanish,spain,fundamental,accordance,realm,general,labour,spaniards,principles,nation,laws,disposition,movement
6,statute,poland,sejm,president,specify,ministers,council,right,public,state,day,polish,office,senate,government,principle,tribunal,comparative,vote,rights_reserved
7,turkmenistan,mejlis,law,right,state,туркменистана,статья,на,citizen,president,approve,title,nca,disclaimer,statement,page,или,по,его,establish
8,assembly,people,law,president,republic,state,rumania,accordance,public,member,force,minister,duty,general,person,prescribe,right,pass,office,service
9,emperor,empire,imperial,legislative,title,court,assembly,minister,council,senate,lawful,majesty,prince,year,law,member,state,oath,officer,people
10,republic,law,state,right,president,court,government,citizen,constitutional,deputy,assembly,election,vote,member,judge,freedom,elect,minister,public,person
11,kenya,county,national,assembly,government,parliament,commission,office,person,legislation,public,member,president,election,land,service,right,year,hold,act
12,president,assembly,court,law,province,office,person,provincial,government,member,pakistan,provision,governor,day,service,national,respect,act,high,power
13,king,law,kingdom,royal,council,year,case,cortes,order,court,deputy,throne,state,appoint,minister,public,member,regent,power,elect
14,parliament,republic,kyrghyz,president,member,minister,act,government,hungarian,prime,public,national,state,law,council,person,court,hungary,fundamental,elect
15,imperial,empire,state,statute,reichstag,right,member,president,law,government,land,public,case,provision,german,year,court,paragraph,provide,territory
16,person,president,parliament,office,court,commission,member,law,public,service,right,act,function,government,appoint,authority,justice,national,provision,power
17,province,act,governor,title,canada,time,provinces,general,parliament,union,member,legislative,house,queen,council,thereof,quebec,government,senate,provide
18,folketing,statute,denmark,rule,lay,comparative,rights_reserved,realm,act,bills,pass,referendum,provide,throne,high,submit,entitle,consent,member,request
19,latvian_ssr,somali,ch,reproduction,union_geneva,permisson,inter,parliamentary,working,democratic,deputy,people,parish,party,committee,commissars,socialist,judiciary,supreme,special
20,holland,representatives,province,man,previously,way,right,herewith,completely,van,natural,people,declaration,declare,fellow,solemn,provisional,wish,rest,citizens
21,region,state,union,president,law,hluttaw,representative,person,pyithu_hluttaw,pyidaungsu_hluttaw,accord,myanmar,chief,services,defence,speaker,right,general,submit,duty
22,house,representatives,member,person,state,senate,case,election,law,paragraph,provide,president,day,national,office,king,political,assembly,act,duty
23,law,republic,state,art,president,public,national,congress,power,case,court,right,year,executive,office,order,establish,exercise,official,chamber
24,court,person,federation,nigeria,region,parliament,house,office,law,member,act,provision,public,minister,government,purpose,authority,high,provide,force
