,country,1st_const_year,2nd_const_year,tfidf_distance,lda_distance,use_distance,stm_distance,constitutional_time,first_regime_time,codes
0,Afghanistan,1923,1931.0,2.5546671599149704,2.1824149694237533,0.2721637195996467,1.8524200436422733,99,8.0,AFG
1,Albania,1925,1928.0,2.818089246749878,2.4124501051683938,0.7783798098308023,3.29629227155804,97,3.0,ALB
2,Algeria,1963,1996.0,0.6509471535682678,0.5368397261252649,0.13296872219689815,0.4839080208273268,59,33.0,DZA
3,Andorra,1993,,0.0,0.0,0.0,0.0,29,,AND
4,Angola,1975,2010.0,0.3174434304237366,0.5716225718386806,0.30541141344115164,0.489318411248492,47,35.0,AGO
5,Antigua Barbuda,1981,,0.0,0.0,0.0,0.0,41,,ATG
6,Argentina,1819,1826.0,1.1499672830104828,0.8812073705652571,0.03753879924851644,0.714374337036735,203,7.0,ARG
7,Armenia,1995,2005.0,0.3890742063522339,0.4190848473669746,0.08401668477139479,0.5333420282267346,27,10.0,ARM
8,Australia,1901,,0.0,0.0,0.0,0.0,121,,AUS
9,Austria,1920,1934.0,0.3382170796394348,0.1136503331920562,0.048903066903148384,0.4032904474061725,102,14.0,AUT
10,Azerbaijan,1991,1995.0,0.1280924677848816,0.45814426976004546,0.2233655784295865,0.6104853662004907,31,4.0,AUT
11,Bahamas,1973,,0.0,0.0,0.0,0.0,49,,AZE
12,Bahrain,1973,2002.0,0.8841427266597748,0.471551186569334,0.05750339107525915,0.3427592014213194,49,29.0,DEU-BW
13,Bangladesh,1972,,0.0,0.0,0.0,0.0,50,,BHS
14,Barbados,1966,,0.0,0.0,0.0,0.0,56,,BHR
15,Belarus,1994,,0.0,0.0,0.0,0.0,28,,BGD
16,Belgium,1831,,0.0,0.0,0.0,0.0,191,,BRB
17,Belize,1981,,0.0,0.0,0.0,0.0,41,,DEU-BY
18,Benin,1964,1970.0,1.4192856401205063,0.7426899899794766,0.40389326482712296,0.5678138114913297,58,6.0,BLR
19,Bhutan,1953,2008.0,0.7390057444572449,0.5798510482686507,0.42081452759073834,0.5631042137355383,69,55.0,BEL
20,Bolivia,1826,1831.0,4.56330905854702,3.026661364272824,0.3255468643339845,3.6204305193328383,196,5.0,BLZ
21,BosniaAndHerzegovina,1995,,0.0,0.0,0.0,0.0,27,,BEN
22,Botswana,1966,,0.0,0.0,0.0,0.0,56,,BTN
23,Brazil,1824,1891.0,1.9418047592043877,1.7087890438912168,0.24565232958686078,3.8017150549216447,198,67.0,BOL
24,Bulgaria,1947,1971.0,0.8179209232330322,1.0321413764192071,0.08373922412356494,0.8628606398917056,75,24.0,BIH
25,Burkina Faso,1960,1988.0,1.4574026390910149,1.6326317914954744,0.35271418606387717,1.16919446811601,62,28.0,BWA
26,Burundi,1962,1974.0,1.698331892490387,1.509537152946407,0.2919815627768244,3.3691320785104604,60,12.0,BRA
27,Cambodia,1947,1972.0,4.370397478342056,2.6042617393251466,0.8050738148854502,3.3502145229870597,75,25.0,BGR
28,Cameroon,1960,1961.0,1.43957981467247,1.22336152790071,0.3765452787409448,1.53435940967103,62,1.0,BFA
29,Canada,1791,1867.0,0.8408332169055939,0.7758145858197605,0.16580075728083377,0.3553260781720716,231,76.0,BDI
30,Cape Verde,1980,,0.0,0.0,0.0,0.0,42,,KHM
31,Central African Republic,1981,1994.0,1.7807971686124802,0.9096015732511482,0.09473174406680496,1.221641751591788,41,13.0,CMR
32,Chad,1960,1962.0,1.1457976996898651,1.0911305377653098,0.09514847353290823,0.7427231122819261,62,2.0,CAN
