,codes,country,year_1st,year_2nd,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,years_const,years_1st_const,change_1st_2nd_adj_tfidf,change_1st_2nd_adj_lda,change_1st_2nd_adj_use,change_1st_curr_adj_allyears_tfidf,change_1st_curr_adj_allyears_lda,change_1st_curr_adj_allyears_use
0,AFG,Afghanistan,1923,1931.0,0.3695398,0.29823849999999996,0.1527322083711624,0.3246723413467407,0.05512329385488757,0.16696404413283683,99,8.0,0.046192475,0.0190915260463953,0.006890411731860946,0.003012510101010101,0.0032795185994620277,0.0016865054962912811
1,ALB,Albania,1925,1928.0,0.5632263,0.6790692199999999,0.2389204204082489,0.5944240689277648,0.08287816714708862,0.10210305916574491,97,3.0,0.1877421,0.07964014013608296,0.027626055715696207,0.007000713608247422,0.0061280831848223175,0.0010526088573788136
2,DZA,Algeria,1963,1996.0,0.6427803999999999,0.6427803999999999,0.1487467885017395,0.1487467885017395,0.13296872219689815,0.13296872219689815,59,33.0,0.019478193939393935,0.0045074784394466515,0.004029355218087823,0.010894583050847456,0.002521132008504059,0.0022537071558796297
3,AND,Andorra,1993,,,,,,,,29,29.0,,,,,,
4,AGO,Angola,1975,2010.0,0.31583905,0.31583905,0.3772825300693512,0.3772825300693512,0.30541141344115164,0.30541141344115164,47,35.0,0.009023972857142857,0.01077950085912432,0.008726040384032904,0.006719979787234043,0.008027287873815982,0.006498115179598971
5,ATG,Antigua Barbuda,1981,,,,,,,,41,41.0,,,,,,
6,ARG,Argentina,1819,1826.0,0.51739767,0.83458741,0.0551252290606498,0.2903789281845092,0.01458493451459042,0.04393798903843904,203,7.0,0.07391395285714286,0.007875032722949971,0.0020835620735129173,0.00411126802955665,0.0014304380698744296,0.00021644329575585733
7,ARM,Armenia,1995,2005.0,0.06904995000000003,0.39053780000000005,0.0201588571071624,0.0844365209341049,0.03428096971807837,0.0963556535249196,27,10.0,0.006904995000000002,0.00201588571071624,0.0034280969718078367,0.014464362962962964,0.0031272785531149963,0.003568727908330355
8,AUS,Australia,1901,,,,,,,,121,121.0,,,,,,
9,AUT,Austria,1920,1934.0,0.32918745000000005,0.32918745000000005,0.0162118859589099,0.0162118859589099,0.048903066903148384,0.048903066903148384,102,14.0,0.023513389285714288,0.0011579918542078502,0.003493076207367742,0.003227327941176471,0.0001589400584206853,0.0004794418323838077
10,AUT,Austria Hungary,1849,,,,,,,,173,173.0,,,,,,
11,AZE,Azerbaijan,1991,1995.0,0.07433800000000002,0.067133,0.1105277687311172,0.1259366124868393,0.2212169311922415,0.2184261661046515,31,4.0,0.018584500000000004,0.0276319421827793,0.055304232798060377,0.00216558064516129,0.004062471370543203,0.007046005358214564
12,DEU-BW,Baden,1818,,,,,,,,204,204.0,,,,,,
13,BHS,Bahamas,1973,,,,,,,,49,49.0,,,,,,
14,BHR,Bahrain,1973,2002.0,0.89408832,0.89408832,0.1284653544425964,0.1284653544425964,0.05750339107525915,0.05750339107525915,49,29.0,0.030830631724137934,0.004429839808365393,0.001982875554319281,0.018246700408163265,0.0026217419273999267,0.0011735385933726358
15,BGD,Bangladesh,1972,,,,,,,,50,50.0,,,,,,
16,BRB,Barbados,1966,,,,,,,,56,56.0,,,,,,
17,DEU-BY,Bavaria,1808,1818.0,0.6282221,0.6282221,0.1620402187108993,0.1620402187108993,0.13080270870065946,0.13080270870065946,214,10.0,0.06282221,0.01620402187108993,0.013080270870065946,0.002935617289719626,0.0007571972836957911,0.0006112276107507451
18,BLR,Belarus,1994,,,,,,,,28,28.0,,,,,,
19,BEL,Belgium,1831,,,,,,,,191,191.0,,,,,,
20,BLZ,Belize,1981,,,,,,,,41,41.0,,,,,,
21,BEN,Benin,1964,1970.0,0.46178759999999996,0.91328712,0.0641879290342331,0.0588933601975441,0.17009688304574977,0.06045488795279297,58,6.0,0.0769646,0.010697988172372183,0.028349480507624963,0.015746329655172413,0.0010154027620266225,0.0010423256543584994
