,codes,country_ahdi,ahdi_1870,ahdi_1880,ahdi_1890,ahdi_1900,ahdi_1913,ahdi_1925,ahdi_1929,ahdi_1933,ahdi_1938,ahdi_1950,ahdi_1955,ahdi_1960,ahdi_1965,ahdi_1970,ahdi_1975,ahdi_1980,ahdi_1985,ahdi_1990,ahdi_1995,ahdi_2000,ahdi_2005,ahdi_2007,ahdi_2010,ahdi_2015,1st_const_year,2nd_const_year,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,1st_2nd_stm,1st_current_stm,constitutional_time,first_regime_time,1st_2nd_tfidf_adj,1st_2nd_lda_adj,1st_2nd_use_adj,1st_2nd_stm_adj,1st_curr_tfidf_adj,1st_curr_lda_adj,1st_curr_use_adj,1st_curr_stm_adj,"Foreign direct investment, net (BoP, current US$) - 2016","Foreign direct investment, net (BoP, current US$) - 2017","Foreign direct investment, net (BoP, current US$) - 2018","Foreign direct investment, net (BoP, current US$) - 2019","Foreign direct investment, net (BoP, current US$) - 2020",GDP (current US$) - 2016,GDP (current US$) - 2017,GDP (current US$) - 2018,GDP (current US$) - 2019,GDP (current US$) - 2020,GDP growth (annual %) - 2016,GDP growth (annual %) - 2017,GDP growth (annual %) - 2018,GDP growth (annual %) - 2019,GDP growth (annual %) - 2020,GDP per capita (current US$) - 2016,GDP per capita (current US$) - 2017,GDP per capita (current US$) - 2018,GDP per capita (current US$) - 2019,GDP per capita (current US$) - 2020,"GNI per capita, Atlas method (current US$) - 2016","GNI per capita, Atlas method (current US$) - 2017","GNI per capita, Atlas method (current US$) - 2018","GNI per capita, Atlas method (current US$) - 2019","GNI per capita, Atlas method (current US$) - 2020","GNI per capita, PPP (current international $) - 2016","GNI per capita, PPP (current international $) - 2017","GNI per capita, PPP (current international $) - 2018","GNI per capita, PPP (current international $) - 2019","GNI per capita, PPP (current international $) - 2020","GNI, Atlas method (current US$) - 2016","GNI, Atlas method (current US$) - 2017","GNI, Atlas method (current US$) - 2018","GNI, Atlas method (current US$) - 2019","GNI, Atlas method (current US$) - 2020","GNI, PPP (current international $) - 2016","GNI, PPP (current international $) - 2017","GNI, PPP (current international $) - 2018","GNI, PPP (current international $) - 2019","GNI, PPP (current international $) - 2020",Gini index - 2016,Gini index - 2017,Gini index - 2018,Gini index - 2019,Gini index - 2020,Gross capital formation (% of GDP) - 2016,Gross capital formation (% of GDP) - 2017,Gross capital formation (% of GDP) - 2018,Gross capital formation (% of GDP) - 2019,Gross capital formation (% of GDP) - 2020,"Population, total - 2016","Population, total - 2017","Population, total - 2018","Population, total - 2019","Population, total - 2020",Surface area (sq. km) - 2016,Surface area (sq. km) - 2017,Surface area (sq. km) - 2018,Surface area (sq. km) - 2019,Surface area (sq. km) - 2020,Total debt service (% of GNI) - 2016,Total debt service (% of GNI) - 2017,Total debt service (% of GNI) - 2018,Total debt service (% of GNI) - 2019,Total debt service (% of GNI) - 2020,Control of Corruption: Estimate - 2017,Control of Corruption: Estimate - 2018,Control of Corruption: Estimate - 2019,Control of Corruption: Estimate - 2020,Government Effectiveness: Estimate - 2017,Government Effectiveness: Estimate - 2018,Government Effectiveness: Estimate - 2019,Government Effectiveness: Estimate - 2020,Political Stability and Absence of Violence/Terrorism: Estimate - 2017,Political Stability and Absence of Violence/Terrorism: Estimate - 2018,Political Stability and Absence of Violence/Terrorism: Estimate - 2019,Political Stability and Absence of Violence/Terrorism: Estimate - 2020,Regulatory Quality: Estimate - 2017,Regulatory Quality: Estimate - 2018,Regulatory Quality: Estimate - 2019,Regulatory Quality: Estimate - 2020,Rule of Law: Estimate - 2017,Rule of Law: Estimate - 2018,Rule of Law: Estimate - 2019,Rule of Law: Estimate - 2020,Voice and Accountability: Estimate - 2017,Voice and Accountability: Estimate - 2018,Voice and Accountability: Estimate - 2019,Voice and Accountability: Estimate - 2020,Real interest rate (%) - 2013,Real interest rate (%) - 2014,Real interest rate (%) - 2015,Real interest rate (%) - 2016,Real interest rate (%) - 2017,Real interest rate (%) - 2018,Real interest rate (%) - 2019,Real interest rate (%) - 2020,country_y,length_preprocess_lastconst,length_lastconst,col.belgium,col.britain,col.france,col.germany,col.italy,col.netherlands,col.portugal,col.spain
0,ARG,Argentina,0.1235446200905021,0.13069787591026527,0.14921101825841263,0.1511653445416249,0.1879856454693683,0.23772567839027148,0.25024395554027734,0.23007219257170278,0.24123422936918137,0.2770790396720847,0.2397505710929436,0.33829800705232727,0.3641634567274756,0.2543589755394588,0.37427839329202184,0.238920976675535,0.45617541163067815,0.45297223957155497,0.4755285069568365,0.49297576878555094,0.5138391530577011,0.5171588504839454,0.5240444170251837,0.5448302450701372,1819.0,1826.0,0.50548896,0.79430464,0.2517267141378704,0.7332571734270331,0.0145849345145904,0.043937989038439,0.2528335502521788,0.4615407867845563,203.0,7.0,0.0722127085714285,0.0359609591625529,0.0020835620735129,0.0361190786074541,0.0039128307389162,0.0036121043025962,0.0002164432957558,0.0022735999348992,-1473633407.02589,-10361231244.2599,-9990788246.04858,-5123845949.27597,-2725227494.04328,557531376217.9669,643628665302.1549,524819742918.6688,451932356085.8417,389288056265.3253,-2.0803278437781074,2.818502977759181,-2.6173964628203805,-2.025934236639202,-9.895268963686874,12790.242473244707,14613.041824657957,11795.159386628686,10056.637940264993,8579.017773156831,12220.0,13140.0,12430.0,11250.0,9070.0,19860.0,23000.0,22460.0,22090.0,20230.0,532580733314.7799,578844320451.3291,553257227152.8295,505637132886.6965,411594713703.4509,865853713240.3163,1012884046242.6924,999564421021.798,992632499536.3363,917817429055.0674,42.0,41.1,41.3,42.9,42.3,17.663227860620303,18.212567174775415,16.613885015637074,15.057766012038144,14.019729733279501,43590368.0,44044811.0,44494502.0,44938712.0,45376763.0,2780400.0,2780400.0,2780400.0,,,4.753092321073563,6.448000749178375,8.49582223565604,10.106317561197635,7.411654041192313,-0.2581808,-0.0687873,-0.0762876,-0.1163816,0.1445933,0.0272682,-0.0869984,-0.2169417,0.1695043,0.0108914,-0.0914442,0.0364368,-0.2898896,-0.2906713,-0.4932295,-0.5673085,-0.2492861,-0.2436714,-0.4306342,-0.4693715,0.5286481,0.5323461,0.5740061,0.5941538,-5.485839182378987,-11.600698770216098,-1.31470878459509,-7.006039843041157,0.45589283233046296,4.564409098735151,10.821962475642488,-7.508489541679207,Argentina,3295.0,7244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,BHS,Bahamas,,,,,,,,,,0.30432677650488543,0.3480767409431851,0.36724068927243586,0.3996328405803585,0.40926321921698583,0.40295172413515096,0.4339485981334823,0.4657155103362825,0.48807394971307005,0.5065855577471504,0.5433698545713723,0.5738246133588594,0.5811785913394861,0.6051824763073951,0.5920988641058232,1972.0,,,,,,,,,,50.0,50.0,,,,,,,,,-390400036.41,-304587573.117333,-491404689.229667,-369231398.631,-374764298.153594,11992600000.0,12359700000.0,12837800000.0,13164400000.0,9907500000.0,0.0911469243731915,1.6250119759754824,2.7670408104424524,0.7024590966983482,-14.514481403290304,31732.919139613095,32376.509172257163,33290.02813541302,33799.417694089134,25194.025144438114,29020.0,30090.0,31150.0,32260.0,26070.0,32750.0,34330.0,34980.0,36180.0,30790.0,10966035784.575628,11485560963.981106,12013453661.237356,12564419861.406578,10252351172.014303,12375641341.337727,13106424822.769203,13490712225.968088,14091069988.50934,12107889909.56792,,,,,,25.747544318996713,27.56377581980145,26.253719484646904,26.502537145635195,22.65253595760787,377923.0,381749.0,385635.0,389486.0,393248.0,13880.0,13880.0,13880.0,,,,,,,,1.176681,1.131582,1.137568,1.137461,0.5790182,0.5372647,0.4858155,0.4521627,0.9895855,0.8628951,0.8162377,0.849964,0.1230418,0.1802535,-0.0482854,0.0138412,0.1914401,0.0970907,0.0764876,0.0620066,0.8495829,0.7648554,0.9062235,0.9186843,3.169863794920637,0.9129730504397117,-0.2763123592236398,3.9537399497066485,2.797391009859849,3.144776407389185,2.377772298071827,18.414695670718416,Bahamas,14693.0,35832.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,BRB,Barbados,,,,,,,,,,0.2524536706172689,0.31239608235472527,0.3469777923807539,0.37004265259962144,0.43267429529482543,0.4455388980465431,0.4697073996808818,0.4799427146565822,0.5098023893278013,0.511532550919425,0.5253798350630298,0.548576275165608,0.5448497634065016,0.5618875803821325,0.5642035228379493,1831.0,,,,,,,,,,191.0,191.0,,,,,,,,,-463025654.165144,,,,,4830000000.0,4978000000.0,5086500000.0,5209000000.0,4418000000.0,2.4786986831913254,0.4751106791922979,-0.5803331542181667,-0.09613555291319642,-18.979509703767206,16900.048285852245,17391.668908461408,17745.2553725928,18148.497845105412,15373.854703501745,15920.0,16070.0,16700.0,17380.0,14350.0,15220.0,15080.0,15320.0,15740.0,12790.0,4550283901.636501,4599044734.127091,4787753384.624058,4988851628.39359,4124736671.877367,4350024546.287671,4316152743.332841,4392529240.66572,4517858240.087767,3676853034.135262,,,,,,16.394621118012424,15.63229409401366,14.292925390740194,15.691415818775198,,285798.0,286229.0,286640.0,287021.0,287371.0,430.0,430.0,430.0,,,,,,,,1.424147,1.411714,1.196289,1.22592,0.8445573,0.4250214,0.6311362,0.4893115,0.9668277,0.9134325,1.049227,1.129196,0.4947271,0.5435893,0.4123509,0.4801968,0.660408,0.3950066,0.3570479,0.3377488,1.113587,1.091533,1.102872,1.131755,5.635794208050354,7.798894862202712,10.269994928291618,8.091847405112308,5.335679939579957,5.1315138570225844,5.407557599188068,3.2162993518106044,Barbados,12353.0,28909.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,BLZ,Belize,,,,,,,,,,0.27129759479269,0.30683646860834835,0.32055965509893286,0.34114046949466237,0.3418280610398335,0.35898271531200543,0.38592425842566375,0.39986965717481276,0.43726784303382066,0.47175989356503595,0.5123501523457774,0.5469572630904066,0.5741271823276298,0.578814691090775,0.519456679772548,1826.0,1831.0,0.4367035999999999,0.859233,0.1756898112360465,0.8324257358728214,0.0065091507551048,0.2543014484931583,0.0630173190704509,0.8263893581878531,196.0,5.0,0.08734072,0.0351379622472092,0.0013018301510209,0.0126034638140901,0.0043838418367346,0.0042470700809837,0.001297456369863,0.0042162722356523,-31014601.3091005,-31574436.7250861,-121323274.418057,-91791684.7309233,-71774621.6693632,1789304087.785615,1858529676.71857,1915899786.96407,1982518540.6134,1636280797.08056,-0.03323363243602273,1.8136820330969243,2.906069731161338,1.762797912847276,-14.010532150776058,4856.973248531117,4945.857698672264,5001.422156634331,5078.809944417716,4115.177007956219,4340.0,4420.0,4620.0,4690.0,4110.0,6790.0,6710.0,6830.0,6940.0,6230.0,1599461144.805984,1660272177.0710187,1768127768.0606818,1829358146.3266895,1632468403.5495064,2500985197.326308,2521087461.971238,2616223253.707257,2707239148.735429,2475656889.361533,,,,,,21.26884427291362,18.041145869244744,17.078335841275198,17.767193233462322,22.301555233753312,368399.0,375775.0,383071.0,390351.0,397621.0,22970.0,22970.0,22970.0,,,6.099241279481225,6.025554111421223,6.465265295560937,5.727952068527596,5.045040059263988,-0.298598,-0.1370772,-0.1957777,-0.1919857,-0.7029624,-0.5964406,-0.6776266,-0.6464335,0.0357257,0.0031797,0.0630389,0.5117432,-0.5466834,-0.6500763,-0.5444132,-0.5378277,-0.8768259,-0.8238621,-0.7752398,-0.7596992,0.5706139,0.4223617,0.5056173,0.5281408,8.969189702160726,9.216487132237297,9.654916096262802,5.655799896244989,7.296649414028791,8.923643406521707,7.2597081726736485,13.284558281924772,Belize,13047.0,35326.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,BOL,Bolivia,0.04113585631725994,0.05392681814277879,0.06030456353535661,0.06805705420740636,0.08907304128896407,0.1093330536299527,0.1144462815174042,0.11385057840857049,0.11705117155787363,0.13436709674276742,0.1443902894352453,0.15334192070976083,0.12655648096917227,0.12561990640440973,0.1209934493664779,0.1516167545583259,0.2821797314108535,0.32891027414648744,0.35593643966339644,0.3741142939702786,0.38765019433475734,0.37618817666186316,0.3903653658065838,0.39369305338361277,1824.0,1891.0,0.88686242,0.90399435,0.4572294408682359,0.8096354680364491,0.0586203677784176,0.3015444523113866,0.7149221457578789,0.8231224916992143,198.0,67.0,0.0132367525373134,0.0068243200129587,0.0008749308623644,0.010670479787431,0.004565628030303,0.0040890680203861,0.0015229517793504,0.0041571843015111,-246499489.903112,-632781025.020884,-386834085.220415,264951155.795393,1014235365.52063,33941126200.06064,37508642165.33661,40287647930.47611,40895322843.785095,36572764862.82345,4.263920837514661,4.1952063010676,4.223623511188748,2.216705777503762,-8.829493619651274,3076.6564398936675,3351.124343841254,3548.590780213766,3552.068143215017,3133.0998032150396,3040.0,3090.0,3370.0,3520.0,3180.0,7360.0,8170.0,8650.0,8910.0,8180.0,33490607688.641987,34575847662.53431,38242657844.99653,40531306508.19511,37149637531.86921,81222638742.54105,91495898239.96344,98189940857.98468,102525502797.77664,95448218876.16652,45.3,44.6,42.6,41.6,43.6,21.05736236123197,22.22028659176567,20.596352811190556,19.87501103411955,15.843556004286516,11031822.0,11192853.0,11353140.0,11513102.0,11673029.0,1098580.0,1098580.0,1098580.0,,,2.3278094006888557,2.690588915939398,2.5620526732606796,2.6953570713593042,3.253265298166004,-0.6587374,-0.6176781,-0.7382592,-0.7563663,-0.3853793,-0.3178463,-0.6993221,-0.5620455,-0.2780288,-0.2871185,-0.7300857,-0.4676746,-0.8970232,-0.9072621,-0.9934214,-1.023997,-1.20487,-1.145215,-1.121446,-1.151606,-0.0246515,-0.0648267,-0.1143257,-0.0706577,4.770028979706911,7.491198716527569,13.30880294558301,9.434724905216559,1.9314209244839524,4.833259360400097,9.155986431877356,9.685974442490027,Bolivia,19022.0,39375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,BRA,Brazil,0.06057862995508532,0.06390511729246699,0.06468015555655963,0.07302232843849205,0.0840432700217642,0.0942240550428226,0.09947110046814611,0.09635329731765299,0.09443341659473209,0.188007691984898,0.20403633967991147,0.21948590485660455,0.1656384090694194,0.1768518141952644,0.1907265251798654,0.2385103634292996,0.2923477649124425,0.4133776097378928,0.4304223622365606,0.45698247861543523,0.4808147725810988,0.46213348030969,0.500476108506061,0.5013400670367963,1962.0,1974.0,0.4183696,0.80901259,0.5365899088218161,0.724733696732149,0.1067973554059683,0.1919823149228939,0.6157018237589597,0.710791939361174,60.0,12.0,0.0348641333333333,0.0447158257351513,0.008899779617164,0.0513084853132466,0.0134835431666666,0.0120788949455358,0.0031997052487148,0.0118465323226862,-59601145882.35,-47544978339.99,-76138154756.03,-46354807251.47,-41253539809.01,1795693265810.2322,2063514688761.976,1916933708381.8914,1877824273720.7822,1444733258971.6514,-3.2759169063211004,1.3228690539081498,1.7836667613700286,1.411152985069947,-4.059048272672712,8710.063289953521,9928.67589653405,9151.381731615356,8897.55296585529,6796.844542278773,8920.0,8700.0,9170.0,9270.0,7850.0,13950.0,14250.0,14600.0,14980.0,14550.0,1839991635500.3591,1808496325077.8618,1920049773473.5742,1957242782226.8535,1669115455408.2136,2876740136512.131,2962271099126.893,3058833319252.6313,3160689540388.808,3093023815791.0664,53.3,53.3,53.9,53.5,48.9,14.96954697536961,14.62558759962639,15.095041633228115,15.403009483887553,15.404865186999125,206163056.0,207833825.0,209469320.0,211049519.0,212559409.0,8515770.0,8515770.0,8515770.0,,,6.684998982811109,4.712942133087479,5.125760862264036,8.30695435022859,9.269032987459582,-0.4959317,-0.398966,-0.3365895,-0.3424238,-0.2328486,-0.4497755,-0.1869027,-0.4470313,-0.4738646,-0.4404235,-0.7137882,-0.4216979,-0.1500317,-0.3271396,-0.1784509,-0.1616535,-0.2469499,-0.2524796,-0.1806352,-0.1758137,0.4480156,0.3602512,0.2974658,0.2610505,18.498844417614947,22.403672441472747,33.832343965020826,40.698361451179416,41.71380787183437,33.102334247697215,31.831927590986588,23.125018954817826,Brazil,23694.0,54669.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,CHL,Chile,0.08057638778332439,0.08552807883879204,0.10646773351159539,0.11872543276717508,0.13638043255449747,0.14032894251412237,0.1452302416384513,0.19232660712223965,0.20941296100366205,0.27392384483627336,0.2762171792813539,0.3112584421135499,0.33628027139459993,0.3569620921550149,0.2114068977093809,0.23829291586637705,0.26769324513273196,0.48886089562120644,0.5619380979169726,0.5989913583246079,0.6240546298892832,0.6044392781979577,0.6352287661145677,0.6624662586139639,1963.0,1979.0,0.568095,0.6301108,0.5362755423911698,0.6180459342045737,0.0322865001162909,0.058956864413594,0.4948687218005706,0.48788692893138,59.0,16.0,0.0355059375,0.0335172213994481,0.0020179062572681,0.0309292951125356,0.0106798440677966,0.0104753548170266,0.000999268888366,0.0082692699818877,-3836168963.57003,-2604278543.45808,-6450385411.47594,-3247162004.81808,3196844020.59294,250440149690.84625,277034675515.68365,297571693064.1932,279385487344.4916,252940023046.00748,1.7110892886704079,1.184544706579743,3.7138591770995646,0.9420053065444733,-5.771501668788758,13753.592148509613,14998.817056321828,15888.144355396988,14741.71440399364,13231.704206938075,13370.0,13270.0,14550.0,14990.0,13470.0,22710.0,23460.0,24550.0,24480.0,24020.0,243404115810.44678,245103185189.15182,272514144236.07822,284025223797.37964,257460413399.67194,413459451742.7198,433291368381.84937,459809731554.1918,463897841813.0947,459259370161.513,,44.4,,,44.9,22.21193230987183,21.257371549105798,22.187244282605853,22.990682785616606,19.8233161499354,18209072.0,18470435.0,18729166.0,18952035.0,19116209.0,756700.0,756700.0,756700.0,,,,,,,,1.106465,1.039679,1.066971,1.146561,0.9961624,1.07547,1.060289,0.9887357,0.4171355,0.4273602,0.0079297,0.0706187,1.350113,1.335477,1.223731,1.052093,1.149239,1.091852,1.074586,1.067767,1.000417,1.024111,0.9911498,1.016067,7.144019590178798,2.069478563789389,0.5348931248012366,1.0706213829305478,-0.21897326707216141,1.7755231709698736,,,Chile,11000.0,25299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,COL,Colombia,0.06396172964555168,0.07311772508976376,0.07548194699387069,0.06930745959832303,0.10173886536463911,0.1299023980352329,0.13730613389161064,0.14535746545136444,0.15411094052100846,0.1423414768996472,0.17184115949118092,0.23248310491159127,0.2431703687745596,0.25581019250185755,0.28432576432772283,0.2967428622989146,0.3227730994889957,0.32847844761361444,0.37654003893239646,0.39049250316809414,0.3813465638807859,0.39941290007066993,0.4286484731677033,0.4474273661104933,1991.0,,,,,,,,,,31.0,31.0,,,,,,,,,-9340585800.77668,-10011316370.6558,-6172375052.87628,-10835657539.6744,-5802592500.84427,282825009887.4583,311883730690.12946,334198214706.20905,323429888934.2568,271437596293.84283,2.0873825016279426,1.3593608678874602,2.5643242827770365,3.281116804526434,-6.79575810693639,5870.7779572416475,6376.706715526008,6729.583331981685,6424.979492408304,5334.556042339165,6460.0,5930.0,6260.0,6570.0,5790.0,13660.0,13910.0,14660.0,15320.0,14640.0,311205365836.77295,290124292506.87787,310998763513.6913,330612608351.7233,294390280412.4115,658235078880.2599,680444793858.7458,727874542237.0383,771292517362.33,744778911289.4144,50.6,49.7,50.4,51.3,54.2,23.16741955724937,21.599376840769562,21.19547556112576,21.509368883226106,19.01070232367165,48175048.0,48909844.0,49661056.0,50339443.0,50882884.0,1141749.0,1141749.0,1141750.0,,,5.663385110269347,7.3069628931420025,7.506251320418755,6.085831471697199,8.160080354006872,-0.3722761,-0.2857142,-0.2363339,-0.181955,-0.07508,-0.0860052,0.0707119,0.0402886,-0.7727076,-0.7969317,-0.9495016,-0.6735995,0.3411354,0.3176741,0.3965637,0.3171094,-0.3629579,-0.4062347,-0.4168378,-0.4912356,0.1124623,0.1635418,0.2048455,0.1492503,8.90797441037777,8.44294935194349,8.785473732014022,9.032095057226428,8.134491127579343,7.1530694898283524,7.459179136582108,8.326474307927386,Colombia,17997.0,46902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,CRI,Costa Rica,,,,,0.13404395743458167,0.1555158640744588,0.16129898414374588,0.16968851739776392,0.18273311818043456,0.2555715759002313,0.2972830167734275,0.3090065520644591,0.33106933824119805,0.33957224083511023,0.3779083803491131,0.4111658266203892,0.4345413955508189,0.46201964878812346,0.48711830053549793,0.507808436719917,0.5455073101908228,0.5603097130867941,0.5742452420181917,0.5814870214944061,1993.0,,,,,,,,,,29.0,29.0,,,,,,,,,-2127035024.21393,-2652093384.4053,-2433790810.79928,-2695142885.44097,-1644265639.48233,58847016044.82436,60516043590.19236,62420165099.73006,64072870931.60298,61846895120.7808,4.204323251783322,4.157698962877433,2.6159044044370887,2.256315079164324,-4.063676535046767,12011.22275443537,12225.574493140313,12485.423896168044,12693.82795603718,12140.854154575418,11100.0,11500.0,11970.0,12090.0,11530.0,18270.0,19280.0,20170.0,21150.0,20860.0,54371620101.729576,56908615253.55444,59846134326.935905,61002601494.383865,58712927647.35716,89513475335.52232,95452508499.55836,100816374717.72522,106777040805.62593,106250680894.17409,48.7,48.3,48.0,48.2,49.3,18.88894097792873,18.064874242517917,18.36986056596129,16.707724499647213,16.564590090602263,4899336.0,4949955.0,4999443.0,5047561.0,5094114.0,51100.0,51100.0,51100.0,,,5.01991915625922,5.158621037894464,5.785026023037157,5.223307222653937,5.125322804172549,0.5094244,0.5527953,0.7027699,0.7761228,0.3063277,0.3762068,0.4225595,0.3622126,0.6088256,0.4694642,0.4522929,0.7615439,0.3463587,0.4885781,0.4971444,0.4498657,0.4692508,0.4810215,0.5445495,0.5699124,1.121746,1.10845,1.096336,1.143007,10.132995702146681,8.18791760540022,9.887063286639892,9.493883461413906,8.269830327573732,8.73920721931725,6.427500485392311,6.42052525714322,Costa Rica,5885.0,16705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,CUB,Cuba,0.062099205960720265,0.0676083455272205,0.08200579540311152,0.09146338610175135,0.13389044481973475,0.15983099361328498,0.15758034364478565,0.16012510410306105,0.1825106516627869,0.24480509961545757,0.2080937087156966,0.16646124762342843,0.1610855120241314,0.17010033323774548,0.18645068951851085,0.2033396939332527,0.21689257431793446,0.228213365278735,0.2426714903475675,0.26327827893316585,0.28066976531705884,0.2854614952976434,0.31884283880827224,0.36747603369157034,1866.0,1953.0,0.92321932,0.92321932,0.5883016321873852,0.5883016321873852,0.0685756049556584,0.0685756049556584,0.4097802848529133,0.4097802848529133,156.0,87.0,0.010611716321839,0.0067620877262917,0.0007882253443179,0.0047101182167001,0.0059180725641025,0.0037711643088934,0.0004395872112542,0.002626796697775,,,,,,91370000000.0,96851000000.0,100050000000.0,103428000000.0,107352000000.0,0.513761467889907,1.8090543994158566,2.2484803930358055,-0.1648399824638318,-10.94834097416171,8060.796597615126,8541.213686437071,8824.194008438417,9125.878679495201,9477.852873267708,7480.0,7950.0,8630.0,,,,,,,,84811579544.95673,90098235719.40361,97808552245.98958,,,,,,,,,,,,,9.560030644631718,10.298293254586943,12.033983008495753,11.494953010790116,9.87499068484984,11335108.0,11339255.0,11338146.0,11333484.0,11326616.0,109880.0,109880.0,109880.0,,,,,,,,0.2678478,0.1663785,0.0437994,-0.1267346,-0.1804782,-0.2471846,-0.1727885,-0.1677658,0.6470563,0.6489246,0.6031231,0.5962209,-1.328484,-1.459466,-1.486811,-1.504454,-0.4303128,-0.4442561,-0.3226229,-0.2780778,-1.552479,-1.460088,-1.440688,-1.419531,,,,,,,,,Cuba,5158.0,12893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
