,year_1st,year_2nd,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,years_const,years_1st_const,change_1st_2nd_adj_tfidf,change_1st_2nd_adj_lda,change_1st_2nd_adj_use,change_1st_curr_adj_allyears_tfidf,change_1st_curr_adj_allyears_lda,change_1st_curr_adj_allyears_use
year_1st,1.0,0.8752302378041784,-0.29253288416044915,-0.2919568684232031,-0.045926333692539914,-0.3503370805677316,-0.1412636406951125,-0.3571122516755261,-0.9999999999999998,-0.391657625772183,-0.08098335839322206,0.0010494915631419602,-0.09356914483087195,0.4817740485282073,0.6503181225370832,0.35864181064656453
year_2nd,0.8752302378041784,1.0,-0.26601905310176893,-0.3058558551867117,0.15094859379007233,-0.2844027399922981,-0.05294263948942481,-0.31199508084013894,-0.875230237804178,0.13714443615072153,-0.2544504161674841,-0.15369002354503758,-0.21918960818095704,0.39967928161676564,0.5788795915354508,0.3174428719316985
1st_2nd_tfidf,-0.29253288416044915,-0.26601905310176893,1.0,0.6980439713607202,0.5318697309715603,0.4429094379060539,0.34025112083903436,0.3503562827979065,0.29253288416044915,0.08578286538315384,0.2705236714663884,0.1580770002040548,0.12624174784795975,0.35220063902375165,0.010435418026145497,0.07944718303359835
1st_current_tfidf,-0.2919568684232031,-0.3058558551867117,0.6980439713607202,1.0,0.38184908946087043,0.6082305256077821,0.3537999127024823,0.4366281633667974,0.29195686842320295,0.007739315014353909,0.2879941471732857,0.2035447084382618,0.19297512613592513,0.5746572463518351,0.1275107586510038,0.1538116941090231
1st_2nd_lda,-0.045926333692539914,0.15094859379007233,0.5318697309715603,0.38184908946087043,1.0,0.5308140095307539,0.5307140133809252,0.3582163386160242,0.04592633369253996,0.38530051509752,0.13851008230729667,0.19597147685333208,0.13682812329964125,0.2570016267539382,0.3349453365128787,0.2796953175899138
1st_current_lda,-0.3503370805677316,-0.2844027399922981,0.4429094379060539,0.6082305256077821,0.5308140095307539,1.0,0.2890412138433224,0.4579945071175253,0.3503370805677315,0.1686855080355978,0.19056083352526,0.17224429412770614,0.157159458810244,0.21882851614271173,0.3407932256891281,0.15675577746598895
1st_2nd_use,-0.1412636406951125,-0.05294263948942481,0.34025112083903436,0.3537999127024823,0.5307140133809252,0.2890412138433224,1.0,0.7239055757582185,0.14126364069511255,0.18713328124902862,0.2783168992726348,0.288808227489862,0.4250902562922481,0.1619365955979794,0.0920228359093701,0.5561540798658975
1st_current_use,-0.3571122516755261,-0.31199508084013894,0.3503562827979065,0.4366281633667974,0.3582163386160242,0.4579945071175253,0.7239055757582185,1.0,0.35711225167552596,0.1293213093295775,0.22560727698026448,0.21142202912313632,0.36480240588414176,0.0816812555927931,0.01186256877001793,0.6145456136306037
years_const,-0.9999999999999998,-0.875230237804178,0.29253288416044915,0.29195686842320295,0.04592633369253996,0.3503370805677315,0.14126364069511255,0.35711225167552596,1.0,0.3916576257721823,0.08098335839322189,-0.001049491563142088,0.09356914483087189,-0.4817740485282075,-0.6503181225370827,-0.3586418106465645
years_1st_const,-0.391657625772183,0.13714443615072153,0.08578286538315384,0.007739315014353909,0.38530051509752,0.1686855080355978,0.18713328124902862,0.1293213093295775,0.3916576257721823,1.0,-0.3251142388414435,-0.29868967110783573,-0.23130591262216843,-0.21542391429229316,-0.2148124646556044,-0.12194223681601832
change_1st_2nd_adj_tfidf,-0.08098335839322206,-0.2544504161674841,0.2705236714663884,0.2879941471732857,0.13851008230729667,0.19056083352526,0.2783168992726348,0.22560727698026448,0.08098335839322189,-0.3251142388414435,1.0,0.9611030415109987,0.8629659717752852,0.14811715158367916,0.03730231139592916,0.10093616444238825
change_1st_2nd_adj_lda,0.0010494915631419602,-0.15369002354503758,0.1580770002040548,0.2035447084382618,0.19597147685333208,0.17224429412770614,0.288808227489862,0.21142202912313632,-0.001049491563142088,-0.29868967110783573,0.9611030415109987,1.0,0.8662126620294156,0.13199099677304546,0.10562598850118866,0.15021129236047254
change_1st_2nd_adj_use,-0.09356914483087195,-0.21918960818095704,0.12624174784795975,0.19297512613592513,0.13682812329964125,0.157159458810244,0.4250902562922481,0.36480240588414176,0.09356914483087189,-0.23130591262216843,0.8629659717752852,0.8662126620294156,1.0,0.06730380025434345,0.027579119094034103,0.18821013927634175
change_1st_curr_adj_allyears_tfidf,0.4817740485282073,0.39967928161676564,0.35220063902375165,0.5746572463518351,0.2570016267539382,0.21882851614271173,0.1619365955979794,0.0816812555927931,-0.4817740485282075,-0.21542391429229316,0.14811715158367916,0.13199099677304546,0.06730380025434345,1.0,0.7001416164387201,0.4680869436485233
change_1st_curr_adj_allyears_lda,0.6503181225370832,0.5788795915354508,0.010435418026145497,0.1275107586510038,0.3349453365128787,0.3407932256891281,0.0920228359093701,0.01186256877001793,-0.6503181225370827,-0.2148124646556044,0.03730231139592916,0.10562598850118866,0.027579119094034103,0.7001416164387201,1.0,0.5758468269997379
change_1st_curr_adj_allyears_use,0.35864181064656453,0.3174428719316985,0.07944718303359835,0.1538116941090231,0.2796953175899138,0.15675577746598895,0.5561540798658975,0.6145456136306037,-0.3586418106465645,-0.12194223681601832,0.10093616444238825,0.15021129236047254,0.18821013927634175,0.4680869436485233,0.5758468269997379,1.0
