,year_1st,year_2nd,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,years_const,years_1st_const,change_1st_2nd_adj_tfidf,change_1st_2nd_adj_lda,change_1st_2nd_adj_use,change_1st_curr_adj_allyears_tfidf,change_1st_curr_adj_allyears_lda,change_1st_curr_adj_allyears_use
year_1st,1.0,0.8816082550144855,-0.26635484528935355,-0.27282130181173797,-0.07276348245990577,-0.43796613008190166,-0.16047134935311624,-0.34340871928304745,-1.0000000000000002,-0.3868369241188707,-0.10265055681897584,0.0012483394684232464,-0.13064986444489635,0.4965441247262114,0.2923572988502405,0.36454323320858717
year_2nd,0.8816082550144855,1.0,-0.23970644879439865,-0.28478128231760536,0.06987121210289021,-0.3994544421785863,-0.08913886186313653,-0.2981482774404302,-0.8816082550144864,0.166119503986562,-0.2773095218156186,-0.12173005276789027,-0.2632946276225953,0.4165100560948911,0.2551035615241799,0.32454491640477257
1st_2nd_tfidf,-0.26635484528935355,-0.23970644879439865,1.0,0.7046752791908423,0.5450125626300163,0.4299998078326879,0.35241766115094425,0.35622438267259626,0.2663548452893538,0.07514866619056534,0.2770916858645559,0.2485594787188488,0.12620645952298906,0.360822025185388,0.17915888969926894,0.09596758112236145
1st_current_tfidf,-0.27282130181173797,-0.28478128231760536,0.7046752791908423,1.0,0.3910875114350024,0.530632864942391,0.3473454670951411,0.4324206317917364,0.2728213018117381,-0.0018536707304173366,0.2863754191321866,0.23161982328248817,0.17174166741507219,0.5732045014743848,0.2709401581362812,0.1611308889180031
1st_2nd_lda,-0.07276348245990577,0.06987121210289021,0.5450125626300163,0.3910875114350024,1.0,0.5288502391933938,0.5559010499802166,0.32297971415000243,0.0727634824599058,0.2923288499554768,0.16209686032838905,0.31879042745838565,0.11469033379230181,0.22470012884230048,0.49473469035989254,0.221806044595127
1st_current_lda,-0.43796613008190166,-0.3994544421785863,0.4299998078326879,0.530632864942391,0.5288502391933938,1.0,0.2999422206800399,0.46103467996592057,0.4379661300819016,0.11291159069658314,0.21955239584270086,0.23816697435742046,0.17425776142479762,0.04813406999509385,0.6080910348018295,0.07975700366176482
1st_2nd_use,-0.16047134935311624,-0.08913886186313653,0.35241766115094425,0.3473454670951411,0.5559010499802166,0.2999422206800399,1.0,0.7269781287819949,0.16047134935311672,0.15627522690112983,0.3281825468382443,0.33602514066452027,0.4576074740196132,0.1427594261501639,0.1903398219154745,0.5441998342098707
1st_current_use,-0.34340871928304745,-0.2981482774404302,0.35622438267259626,0.4324206317917364,0.32297971415000243,0.46103467996592057,0.7269781287819949,1.0,0.34340871928304784,0.1187820850236238,0.25648113168474046,0.21750592735238547,0.37837556226591773,0.08029856490238087,0.17858806062367794,0.6164040818332741
years_const,-1.0000000000000002,-0.8816082550144864,0.2663548452893538,0.2728213018117381,0.0727634824599058,0.4379661300819016,0.16047134935311672,0.34340871928304784,1.0,0.38683692411887044,0.10265055681897611,-0.0012483394684229905,0.13064986444489654,-0.49654412472621107,-0.29235729885024114,-0.36454323320858695
years_1st_const,-0.3868369241188707,0.166119503986562,0.07514866619056534,-0.0018536707304173366,0.2923288499554768,0.11291159069658314,0.15627522690112983,0.1187820850236238,0.38683692411887044,1.0,-0.34238552680597295,-0.24704844647421179,-0.25574429480698213,-0.201049275024824,-0.09855704994113866,-0.10993232185434842
change_1st_2nd_adj_tfidf,-0.10265055681897584,-0.2773095218156186,0.2770916858645559,0.2863754191321866,0.16209686032838905,0.21955239584270086,0.3281825468382443,0.25648113168474046,0.10265055681897611,-0.34238552680597295,1.0,0.91117162581303,0.8708923429235639,0.12699923743670086,0.13041087688820868,0.10389356015594917
change_1st_2nd_adj_lda,0.0012483394684232464,-0.12173005276789027,0.2485594787188488,0.23161982328248817,0.31879042745838565,0.23816697435742046,0.33602514066452027,0.21750592735238547,-0.0012483394684229905,-0.24704844647421179,0.91117162581303,1.0,0.7446051396592968,0.14476389607431772,0.2284965222408153,0.16604227325387722
change_1st_2nd_adj_use,-0.13064986444489635,-0.2632946276225953,0.12620645952298906,0.17174166741507219,0.11469033379230181,0.17425776142479762,0.4576074740196132,0.37837556226591773,0.13064986444489654,-0.25574429480698213,0.8708923429235639,0.7446051396592968,1.0,0.03123795698460854,0.08499416065255347,0.1719504479204248
change_1st_curr_adj_allyears_tfidf,0.4965441247262114,0.4165100560948911,0.360822025185388,0.5732045014743848,0.22470012884230048,0.04813406999509385,0.1427594261501639,0.08029856490238087,-0.49654412472621107,-0.201049275024824,0.12699923743670086,0.14476389607431772,0.03123795698460854,1.0,0.4999281847802877,0.47381581354038693
change_1st_curr_adj_allyears_lda,0.2923572988502405,0.2551035615241799,0.17915888969926894,0.2709401581362812,0.49473469035989254,0.6080910348018295,0.1903398219154745,0.17858806062367794,-0.29235729885024114,-0.09855704994113866,0.13041087688820868,0.2284965222408153,0.08499416065255347,0.4999281847802877,1.0,0.44915150657722697
change_1st_curr_adj_allyears_use,0.36454323320858717,0.32454491640477257,0.09596758112236145,0.1611308889180031,0.221806044595127,0.07975700366176482,0.5441998342098707,0.6164040818332741,-0.36454323320858695,-0.10993232185434842,0.10389356015594917,0.16604227325387722,0.1719504479204248,0.47381581354038693,0.44915150657722697,1.0
