,country,year,simirality
0,Afghanistan,1923,1.0000004
1,Afghanistan,1931,0.62582195
2,Afghanistan,1964,0.24579325
3,Afghanistan,1977,0.25532648
4,Afghanistan,1987,0.7089647
5,Afghanistan,1990,0.7046391
6,Afghanistan,2004,0.6729736
7,Albania,1925,0.9999999
8,Albania,1928,0.43218854
9,Albania,1939,0.20420636
10,Albania,1946,0.32601267
11,Albania,1976,0.1799958
12,Albania,1998,0.31958485
13,Algeria,1963,0.9999997
14,Algeria,1996,0.3498503
15,Andorra,1993,1.0000006
16,Angola,1975,1.0000001
17,Angola,2010,0.6805658
18,Antigua Barbuda,1981,0.99999946
19,Argentina,1819,1.0000002
20,Argentina,1826,0.4537775
21,Argentina,1853,0.2099566
22,Armenia,1995,1.0000001
23,Armenia,2005,0.938519
24,Armenia,2015,0.6283421
25,Australia,1901,0.99999976
26,Austria,1920,1.0000011
27,Austria,1934,0.66453815
28,Azerbaijan,1991,1.0
29,Azerbaijan,1995,0.92947626
30,Azerbaijan,2009,0.9351128
31,Bahamas,1973,1.0000005
32,Bahrain,1973,1.0
33,Bahrain,2002,0.105229475
34,Bangladesh,1972,0.9999996
35,Barbados,1966,0.99999994
36,Belarus,1994,0.9999999
37,Belgium,1831,0.99999887
38,Belize,1981,1.0
39,Benin,1964,1.0000004
40,Benin,1970,0.5383793
41,Benin,1990,0.085536376
42,Bhutan,1953,1.0
43,Bhutan,2008,0.2602376
44,Bolivia,1826,1.0
45,Bolivia,1831,0.5704819
46,Bolivia,1843,0.3396561
47,Bolivia,1851,0.41436505
48,Bolivia,1880,0.35649216
49,Bolivia,1938,0.28152093
50,Bolivia,1945,0.37891695
51,Bolivia,1967,0.2729664
52,Bolivia,2009,0.14580166
53,BosniaAndHerzegovina,1995,0.9999997
54,Botswana,1966,1.0000033
55,Brazil,1824,1.0000004
56,Brazil,1891,0.11318702
57,Brazil,1937,0.19643024
58,Brazil,1946,0.2016568
59,Brazil,1967,0.16198654
60,Brazil,1988,0.097414926
61,Bulgaria,1947,1.0
62,Bulgaria,1971,0.53276706
63,Bulgaria,1991,0.51218605
64,Burkina Faso,1960,0.99999976
65,Burkina Faso,1988,0.076081954
66,Burkina Faso,1991,0.057095267
67,Burundi,1962,1.0
68,Burundi,1974,0.58070815
69,Burundi,1981,0.36289588
70,Burundi,1992,0.161856
71,Burundi,2004,0.19272073
72,Burundi,2005,0.19043429
73,Cambodia,1947,0.9999997
74,Cambodia,1972,0.111241736
75,Cambodia,1976,0.34404185
76,Cambodia,1981,0.018868536
77,Cambodia,1989,0.29824963
78,Cambodia,1993,0.30101606
79,Cameroon,1960,0.99999994
80,Cameroon,1961,0.09868921
81,Cameroon,1972,0.021915147
82,Canada,1791,0.99999887
83,Canada,1867,0.3184132
84,Canada,2011,0.2941538
85,Cape Verde,1980,0.99999994
86,Central African Republic,1981,1.0
87,Central African Republic,1994,0.46343485
88,Central African Republic,2004,0.55781865
89,Central African Republic,2013,0.09966379
90,Chad,1960,0.99999994
91,Chad,1962,0.5210003
92,Chad,1996,0.34274748
93,Chile,1823,1.0000007
94,Chile,1828,0.20602226
95,Chile,1833,0.25830516
96,Chile,1925,0.1344052
97,Chile,1980,0.09777621
98,China,1914,1.0000001
99,China,1923,0.025207836
100,China,1947,0.065779924
101,China,1949,0.012014376
102,China,1954,0.008374486
103,China,1975,0.0031521497
104,China,1978,0.007045516
105,China,1982,0.00959048
106,Colombia,1811,1.0000005
107,Colombia,1830,0.15289296
108,Colombia,1832,0.22066349
109,Colombia,1843,0.25004572
110,Colombia,1853,0.3349896
111,Colombia,1858,0.15716201
112,Colombia,1863,0.1548354
113,Colombia,1886,0.120429754
114,Colombia,1991,0.11587891
115,Comoros,1996,1.0000002
116,Comoros,2001,0.3779141
117,Congo,1963,1.0000002
118,Congo,1979,0.43371424
119,Congo,1992,0.39336282
120,Congo,2001,0.36885288
121,Costa Rica,1848,1.0
122,Costa Rica,1871,0.31660977
123,Costa Rica,1917,0.5870635
124,Costa Rica,1949,0.7130049
125,Croatia,1991,1.0000006
126,Cuba,1940,1.0000024
127,Cuba,1959,0.5806887
128,Cuba,1976,0.36053836
129,Cyprus,1960,0.9999994
130,Czech Republic,1993,1.0
131,Democratic Republic of the Congo,1964,0.9999992
132,Democratic Republic of the Congo,1967,0.031703968
133,Democratic Republic of the Congo,2003,0.36402416
134,Democratic Republic of the Congo,2005,0.6048877
135,Denmark,1866,0.9999999
136,Denmark,1953,0.07745431
137,Djibouti,1977,1.0
138,Djibouti,1992,0.38079754
139,Dominica,1978,1.0
140,Dominican Republic,1821,1.0000012
141,Dominican Republic,1858,0.08191395
142,Dominican Republic,1934,0.07592501
143,Dominican Republic,1942,0.12179892
144,Dominican Republic,1947,0.14933075
145,Dominican Republic,1955,0.083950356
146,Dominican Republic,1962,0.10574314
147,Dominican Republic,1963,0.10284265
148,Dominican Republic,1966,0.094534
149,Dominican Republic,1994,0.1027793
150,Dominican Republic,2002,0.10263531
151,Dominican Republic,2010,0.10093051
152,East Timor,2002,1.0000001
153,Ecuador,1830,1.0000007
154,Ecuador,1869,0.080955535
155,Ecuador,1884,0.08941985
156,Ecuador,1897,0.34058586
157,Ecuador,1906,0.07097274
158,Ecuador,1946,0.3863813
159,Ecuador,1967,0.39695907
160,Ecuador,1978,0.20577025
161,Ecuador,1997,0.26343927
162,Ecuador,1998,0.19080973
163,Ecuador,2008,0.46364045
