,country,year,similarity
0,Afghanistan,1923,1.0
1,Afghanistan,1931,0.9448767061451124
2,Afghanistan,1964,0.8176721438493124
3,Afghanistan,1977,0.8345770420222971
4,Afghanistan,1987,0.8379650266130582
5,Afghanistan,1990,0.8386873232560901
6,Afghanistan,2004,0.8330359558671632
7,Albania,1925,1.0
8,Albania,1928,0.9171218328529114
9,Albania,1939,0.7211487295577361
10,Albania,1946,0.9229537035570157
11,Albania,1976,0.8987901677078627
12,Albania,1998,0.8978969408342551
13,Algeria,1963,1.0
14,Algeria,1996,0.8670312778031019
15,Andorra,1993,1.0
16,Angola,1975,1.0
17,Angola,2010,0.6945885865588484
18,Antigua Barbuda,1981,1.0
19,Argentina,1819,1.0
20,Argentina,1826,0.9854150654854095
21,Argentina,1853,0.956062010961561
22,Armenia,1995,1.0
23,Armenia,2005,0.9657190302819217
24,Armenia,2015,0.9036443464750803
25,Australia,1901,1.0
26,Austria,1920,1.0
27,Austria,1934,0.9510969330968516
28,Austria Hungary,1849,1.0
29,Azerbaijan,1991,1.0
30,Azerbaijan,1995,0.7787830688077585
31,Azerbaijan,2009,0.7815738338953485
32,Baden,1818,1.0
33,Bahamas,1973,1.0
34,Bahrain,1973,1.0
35,Bahrain,2002,0.9424966089247409
36,Bangladesh,1972,1.0
37,Barbados,1966,1.0
38,Bavaria,1808,1.0
39,Bavaria,1818,0.8691972912993405
40,Belarus,1994,1.0
41,Belgium,1831,1.0
42,Belize,1981,1.0
43,Benin,1964,1.0
44,Benin,1970,0.8299031169542502
45,Benin,1990,0.939545112047207
46,Bhutan,1953,1.0
47,Bhutan,2008,0.5791854724092617
48,Bolivia,1826,1.0
49,Bolivia,1831,0.9934908492448951
50,Bolivia,1843,0.9535333565276933
51,Bolivia,1851,0.9577232239844009
52,Bolivia,1880,0.968308624619303
53,Bolivia,1938,0.9514675628452035
54,Bolivia,1945,0.9584760959429696
55,Bolivia,1967,0.9094041962979499
56,Bolivia,2009,0.7456985515068417
57,BosniaAndHerzegovina,1995,1.0
58,Botswana,1966,1.0
59,Brazil,1824,1.0
60,Brazil,1891,0.9413796322215824
61,Brazil,1937,0.9022429867381562
62,Brazil,1946,0.8532197233284676
63,Brazil,1967,0.8141438058289442
64,Brazil,1988,0.6984555476886134
65,Bulgaria,1947,1.0
66,Bulgaria,1971,0.953560528737296
67,Bulgaria,1991,0.9268188007709838
68,Burkina Faso,1960,1.0
69,Burkina Faso,1988,0.7699844551001598
70,Burkina Faso,1991,0.8859713574052621
71,Burundi,1962,1.0
72,Burundi,1974,0.8932026445940316
73,Burundi,1981,0.9007317908990978
74,Burundi,1992,0.8813199289439932
75,Burundi,2004,0.8066974212908178
76,Burundi,2005,0.808017685077106
77,Cambodia,1947,1.0
78,Cambodia,1972,0.9308302146074144
79,Cambodia,1976,0.6802084581189188
80,Cambodia,1981,0.895893127174555
81,Cambodia,1989,0.9168143214045404
82,Cambodia,1993,0.8783960538704532
83,Cameroon,1960,1.0
84,Cameroon,1961,0.699423415819852
85,Cameroon,1972,0.7070606911615802
86,Canada,1791,1.0
87,Canada,1867,0.9164748780129379
88,Canada,2011,0.8714304190436013
89,Cape Verde,1980,1.0
90,Caribbean Charter,1997,1.0
91,Central African Republic,1981,1.0
92,Central African Republic,1994,0.9595059414578277
