,country,year,similarity
0,Afghanistan,1923,1.0
1,Afghanistan,1931,0.6463695764541626
2,Afghanistan,1964,0.24575406312942505
3,Afghanistan,1977,0.13426430523395538
4,Afghanistan,1987,0.5332159996032715
5,Afghanistan,1990,0.9823223352432251
6,Afghanistan,2004,0.90340656042099
7,Albania,1925,1.0
8,Albania,1928,0.4865526556968689
9,Albania,1939,0.47933587431907654
10,Albania,1946,0.14723911881446838
11,Albania,1976,0.5308662056922913
12,Albania,1998,0.537916898727417
13,Algeria,1963,1.0
14,Algeria,1996,0.3490528464317322
15,Andorra,1993,1.0
16,Angola,1975,1.0
17,Angola,2010,0.6825565695762634
18,Antigua Barbuda,1981,1.0
19,Argentina,1819,1.0
20,Argentina,1826,0.49451103806495667
21,Argentina,1853,0.35552167892456055
22,Armenia,1995,1.0
23,Armenia,2005,0.935488760471344
24,Armenia,2015,0.6754370331764221
25,Australia,1901,1.0
26,Austria,1920,1.0
27,Austria,1934,0.6617829203605652
28,Azerbaijan,1991,1.0
29,Azerbaijan,1995,0.9294729232788086
30,Azerbaijan,2009,0.9424346089363098
31,Bahamas,1973,1.0
32,Bahrain,1973,1.0
33,Bahrain,2002,0.11585727334022522
34,Bangladesh,1972,1.0
35,Barbados,1966,1.0
36,Belarus,1994,1.0
37,Belgium,1831,1.0
38,Belize,1981,1.0
39,Benin,1964,1.0
40,Benin,1970,0.5377202033996582
41,Benin,1990,0.04299415647983551
42,Bhutan,1953,1.0
43,Bhutan,2008,0.2609942555427551
44,Bolivia,1826,1.0
45,Bolivia,1831,0.563296377658844
46,Bolivia,1843,0.42701950669288635
47,Bolivia,1851,0.44394561648368835
48,Bolivia,1880,0.3942520320415497
49,Bolivia,1938,0.38078251481056213
50,Bolivia,1945,0.5035222172737122
51,Bolivia,1967,0.5219013094902039
52,Bolivia,2009,0.2019713670015335
53,BosniaAndHerzegovina,1995,1.0
54,Botswana,1966,1.0
55,Brazil,1824,1.0
56,Brazil,1891,0.11313758045434952
57,Brazil,1937,0.37585827708244324
58,Brazil,1946,0.8269203901290894
59,Brazil,1967,0.8826770186424255
60,Brazil,1988,0.8596019744873047
61,Bulgaria,1947,1.0
62,Bulgaria,1971,0.5333380699157715
63,Bulgaria,1991,0.6487410068511963
64,Burkina Faso,1960,1.0
65,Burkina Faso,1988,0.07619426399469376
66,Burkina Faso,1991,0.4664030969142914
67,Burundi,1962,1.0
68,Burundi,1974,0.5816304087638855
69,Burundi,1981,0.7024326324462891
70,Burundi,1992,0.39060527086257935
71,Burundi,2004,0.7371284365653992
72,Burundi,2005,0.88987135887146
73,Cambodia,1947,1.0
74,Cambodia,1972,0.11090350896120071
75,Cambodia,1976,0.034016937017440796
76,Cambodia,1981,0.04803190380334854
77,Cambodia,1989,0.19151833653450012
78,Cambodia,1993,0.24513183534145355
79,Cameroon,1960,1.0
80,Cameroon,1961,0.09635165333747864
81,Cameroon,1972,0.46406853199005127
82,Canada,1791,1.0
83,Canada,1867,0.2766818106174469
84,Canada,2011,0.8824849724769592
85,Cape Verde,1980,1.0
86,Central African Republic,1981,1.0
87,Central African Republic,1994,0.4709509611129761
88,Central African Republic,2004,0.616121232509613
89,Central African Republic,2013,0.13213063776493073
90,Chad,1960,1.0
91,Chad,1962,0.524008572101593
92,Chad,1996,0.33019372820854187
93,Chile,1823,1.0
94,Chile,1828,0.21279248595237732
95,Chile,1833,0.6344850659370422
96,Chile,1925,0.2646591067314148
97,Chile,1980,0.49780237674713135
98,China,1914,1.0
99,China,1923,0.02534027211368084
100,China,1947,0.13788971304893494
101,China,1949,0.07763105630874634
102,China,1954,0.6656621694564819
103,China,1975,0.6486898064613342
104,China,1978,0.831278920173645
105,China,1982,0.7534177303314209
106,Colombia,1811,1.0
107,Colombia,1830,0.1452518105506897
108,Colombia,1832,0.33389365673065186
109,Colombia,1843,0.8867650032043457
110,Colombia,1853,0.7335087060928345
111,Colombia,1858,0.18873663246631622
112,Colombia,1863,0.22327543795108795
113,Colombia,1886,0.4263930022716522
114,Colombia,1991,0.34753504395484924
115,Comoros,1996,1.0
116,Comoros,2001,0.37962695956230164
117,Congo,1963,1.0
118,Congo,1979,0.43190500140190125
119,Congo,1992,0.5929997563362122
120,Congo,2001,0.6649811267852783
121,Costa Rica,1848,1.0
122,Costa Rica,1871,0.3193646967411041
123,Costa Rica,1917,0.2780110538005829
124,Costa Rica,1949,0.5672809481620789
125,Croatia,1991,1.0
126,Cuba,1940,1.0
127,Cuba,1959,0.5808411240577698
128,Cuba,1976,0.38154780864715576
129,Cyprus,1960,1.0
130,Czech Republic,1993,1.0
131,Democratic Republic of the Congo,1964,1.0
132,Democratic Republic of the Congo,1967,0.0318552665412426
133,Democratic Republic of the Congo,2003,0.051769476383924484
134,Democratic Republic of the Congo,2005,0.6757391691207886
135,Denmark,1866,1.0
136,Denmark,1953,0.07678067684173584
137,Djibouti,1977,1.0
138,Djibouti,1992,0.3814229965209961
139,Dominica,1978,1.0
140,Dominican Republic,1821,1.0
141,Dominican Republic,1858,0.0803895890712738
142,Dominican Republic,1934,0.5316004753112793
143,Dominican Republic,1942,0.3918895423412323
144,Dominican Republic,1947,0.6956202983856201
145,Dominican Republic,1955,0.7731085419654846
146,Dominican Republic,1962,0.7915160655975342
147,Dominican Republic,1963,0.5328234434127808
148,Dominican Republic,1966,0.5339056849479675
149,Dominican Republic,1994,0.8703203797340393
150,Dominican Republic,2002,0.997119128704071
151,Dominican Republic,2010,0.4869753420352936
152,East Timor,2002,1.0
153,Ecuador,1830,1.0
154,Ecuador,1869,0.07984457165002823
155,Ecuador,1884,0.5526929497718811
156,Ecuador,1897,0.2244529277086258
157,Ecuador,1906,0.18679332733154297
158,Ecuador,1946,0.177140012383461
159,Ecuador,1967,0.7096167206764221
160,Ecuador,1978,0.3072584271430969
161,Ecuador,1997,0.7452484965324402
162,Ecuador,1998,0.7691869735717773
163,Ecuador,2008,0.321579247713089
164,Egypt,1923,1.0
165,Egypt,1956,0.32132935523986816
166,Egypt,1971,0.3819146156311035
167,Egypt,2012,0.22080162167549133
168,Egypt,2014,0.5678171515464783
169,El Salvador,1824,1.0
170,El Salvador,1841,0.4087766408920288
171,El Salvador,1871,0.4055304527282715
172,El Salvador,1872,0.865924596786499
173,El Salvador,1880,0.7330157160758972
174,El Salvador,1883,0.6961941123008728
175,El Salvador,1886,0.8046489357948303
176,El Salvador,1939,0.7108889818191528
177,El Salvador,1950,0.43526408076286316
178,Equatorial Guinea,1968,1.0
179,Equatorial Guinea,1973,0.6239465475082397
180,Equatorial Guinea,1982,0.5284909605979919
181,Equatorial Guinea,1991,0.7618798017501831
182,Eritrea,1997,1.0
183,Estonia,1920,1.0
184,Estonia,1937,0.05701610445976257
185,Estonia,1978,0.3141317069530487
186,Estonia,1992,0.13546690344810486
187,Ethiopia,1931,1.0
188,Ethiopia,1955,0.9089338779449463
189,Ethiopia,1987,0.09788370132446289
190,Ethiopia,1994,0.3914880156517029
191,Fiji,1970,1.0
192,Fiji,1990,0.8985580205917358
193,Fiji,1997,0.9284763336181641
194,Fiji,2013,0.8149933815002441
195,Finland,1919,1.0
196,Finland,1999,0.4281064569950104
197,France,1791,1.0
198,France,1793,0.29537004232406616
199,France,1795,0.1315559595823288
200,France,1799,0.18503013253211975
201,France,1802,0.41278713941574097
202,France,1804,0.28494635224342346
203,France,1814,0.045714061707258224
204,France,1830,0.7327442169189453
205,France,1848,0.17289215326309204
206,France,1852,0.31041303277015686
207,France,1875,0.1898595690727234
208,France,1946,0.11405673623085022
209,France,1958,0.31910181045532227
210,Gabon,1961,1.0
211,Gabon,1975,0.5762224197387695
212,Gabon,1991,0.7253068089485168
213,Gambia,1970,1.0
214,Gambia,1996,0.8799341917037964
215,Georgia,1995,1.0
216,Germany,1871,1.0
217,Germany,1919,0.6497025489807129
218,Ghana,1954,1.0
219,Ghana,1957,0.4593532383441925
220,Ghana,1960,0.7121961712837219
221,Ghana,1969,0.790657639503479
222,Ghana,1992,0.925835371017456
223,Great Colombia,1821,1.0
224,Greece,1952,1.0
225,Greece,1968,0.6362649202346802
226,Greece,1975,0.6508404612541199
227,Grenada,1974,1.0
228,Guatemala,1879,1.0
229,Guatemala,1945,0.39043566584587097
230,Guatemala,1956,0.5920917987823486
231,Guatemala,1965,0.7080355286598206
232,Guatemala,1985,0.6523205041885376
233,Guinea,1958,1.0
234,Guinea,1982,0.4571274220943451
235,Guinea,1990,0.27811190485954285
236,Guinea,2010,0.4467947483062744
237,Guinea Bissau,1973,1.0
238,Guinea Bissau,1984,0.43761903047561646
239,Guinea Bissau,1996,0.4608471095561981
240,Guyana,1966,1.0
241,Guyana,1970,0.918502151966095
242,Guyana,1980,0.9941304326057434
243,Haiti,1801,1.0
244,Haiti,1805,0.04896564036607742
245,Haiti,1806,0.969898521900177
246,Haiti,1811,0.21181723475456238
247,Haiti,1889,0.11028362065553665
248,Haiti,1950,0.7613939642906189
249,Haiti,1964,0.6087454557418823
250,Haiti,1983,0.7108907103538513
251,Haiti,1987,0.6047475934028625
252,Honduras,1839,1.0
253,Honduras,1848,0.44995081424713135
254,Honduras,1880,0.16183122992515564
255,Honduras,1894,0.22704726457595825
256,Honduras,1904,0.6156171560287476
257,Honduras,1924,0.5329367518424988
258,Honduras,1936,0.7338442206382751
259,Honduras,1957,0.2316390872001648
260,Honduras,1982,0.6482835412025452
261,Hungary,1919,1.0
262,Hungary,1920,0.0929030254483223
263,Hungary,1946,0.5025145411491394
264,Hungary,1949,0.6603225469589233
265,Hungary,2011,0.4033219516277313
266,Iceland,1874,1.0
267,Iceland,1920,0.0773467943072319
268,Iceland,1944,0.02459729090332985
269,India,1949,1.0
270,Indonesia,1945,1.0
271,Indonesia,2002,0.2829509675502777
272,Iran,1906,1.0
273,Iran,1979,0.037311576306819916
274,Iraq,1925,1.0
275,Iraq,2005,0.6273590922355652
276,Ireland,1922,1.0
277,Ireland,1937,0.8061587810516357
278,Israel,1958,1.0
279,Italy,1848,1.0
280,Italy,1947,0.31078583002090454
281,Jamaica,1962,1.0
282,Japan,1889,1.0
283,Japan,1946,0.4754045903682709
284,Jordan,1946,1.0
285,Jordan,1952,0.5858955979347229
286,Kazakhstan,1995,1.0
287,Kenya,1963,1.0
288,Kenya,2010,0.7146461606025696
289,Kiribati,1979,1.0
290,Kosovo,2008,1.0
291,Kuwait,1962,1.0
292,Kyrgyz,1993,1.0
293,Kyrgyz,2007,0.3603113889694214
294,Kyrgyz,2010,0.9347573518753052
295,Laos,1947,1.0
296,Laos,1991,0.023059891536831856
297,Latvia,1919,1.0
298,Latvia,1922,0.051158320158720016
299,Latvia,1940,0.06332843750715256
300,Latvia,1991,0.029358768835663795
301,Lebanon,1926,1.0
302,Lesotho,1966,1.0
303,Lesotho,1983,0.885925829410553
304,Lesotho,1993,0.9015320539474487
305,Liberia,1847,1.0
306,Liberia,1986,0.673279881477356
307,Libya,1951,1.0
308,Libya,2011,0.3682634234428406
309,Liechtenstein,1818,1.0
310,Liechtenstein,1921,0.09731920063495636
311,Lithuania,1922,1.0
312,Lithuania,1928,0.9563288688659668
313,Lithuania,1938,0.9533979296684265
314,Lithuania,1992,0.9368624687194824
315,Luxembourg,1868,1.0
316,Macedonia,1991,1.0
317,Madagascar,1975,1.0
318,Madagascar,1992,0.34685376286506653
319,Madagascar,1998,0.39766761660575867
320,Madagascar,2010,0.4973559081554413
321,Malawi,1964,1.0
322,Malawi,1966,0.8377958536148071
323,Malawi,1994,0.8375064730644226
324,Malaysia,1957,1.0
325,Maldives,1998,1.0
326,Maldives,2008,0.9798266887664795
327,Mali,1969,1.0
328,Mali,1974,0.6788554191589355
329,Mali,1992,0.45366814732551575
330,Malta,1964,1.0
331,Marshall Islands,1979,1.0
332,Mauritania,1961,1.0
333,Mauritania,1978,0.36806491017341614
334,Mauritania,1985,0.10930435359477997
335,Mauritania,1991,0.10610120743513107
336,Mauritius,1968,1.0
337,Mexico,1824,1.0
338,Mexico,1836,0.45268183946609497
339,Mexico,1857,0.2768014967441559
340,Mexico,1917,0.3959067761898041
341,Micronesia,1981,1.0
342,Moldova,1978,1.0
343,Moldova,1994,0.002374378265812993
344,Monaco,1962,1.0
345,Mongolia,1924,1.0
346,Mongolia,1940,0.1075555756688118
347,Mongolia,1960,0.039746493101119995
348,Mongolia,1992,0.529131293296814
349,Montenegro,1905,1.0
350,Montenegro,1992,0.15140758454799652
351,Montenegro,2007,0.8424911499023438
352,Morocco,1962,1.0
353,Morocco,1970,0.5462610721588135
354,Morocco,1972,0.5724061131477356
355,Morocco,2011,0.5179603695869446
356,Mozambique,1975,1.0
357,Mozambique,1990,0.724047064781189
358,Mozambique,2004,0.2211427092552185
359,Myanmar,1947,1.0
360,Myanmar,1962,0.35858139395713806
361,Myanmar,1974,0.0812496617436409
362,Myanmar,2008,0.7728362083435059
363,Namibia,1990,1.0
364,Nauru,1968,1.0
365,Nepal,1948,1.0
366,Nepal,1959,0.11396996676921844
367,Nepal,1962,0.23276394605636597
368,Nepal,1990,0.2605486512184143
369,Nepal,2006,0.6421993374824524
370,Netherlands,1795,1.0
371,Netherlands,1815,0.017151279374957085
372,New zealand,1852,1.0
373,Nicaragua,1858,1.0
374,Nicaragua,1893,0.42982858419418335
375,Nicaragua,1905,0.5102614760398865
376,Nicaragua,1911,0.41434773802757263
377,Nicaragua,1939,0.48378613591194153
378,Nicaragua,1948,0.5263395309448242
379,Nicaragua,1950,0.8352378010749817
380,Nicaragua,1974,0.6426218152046204
381,Nicaragua,1987,0.4771154522895813
382,Niger,1960,1.0
383,Niger,1989,0.10491453856229782
384,Niger,1992,0.06108120083808899
385,Niger,1996,0.7782321572303772
386,Niger,1999,0.6887843012809753
387,Niger,2010,0.5006641745567322
388,Nigeria,1960,1.0
389,Nigeria,1963,0.9699990749359131
390,Nigeria,1978,0.7721243500709534
391,Nigeria,1989,0.958978533744812
392,Nigeria,1999,0.9313202500343323
393,North Korea,1948,1.0
394,North Korea,1972,0.2249671369791031
395,North Korea,1998,0.2744094431400299
396,Norway,1814,1.0
397,Oman,1996,1.0
398,Pakistan,1956,1.0
399,Pakistan,1962,0.8542203307151794
400,Pakistan,1973,0.7924676537513733
401,Palau,1981,1.0
402,Panama,1904,1.0
403,Panama,1940,0.6062513589859009
404,Panama,1946,0.4733470678329468
405,Panama,1972,0.5741645693778992
406,Papua New Guinea,1975,1.0
407,Paraguay,1813,1.0
408,Paraguay,1844,0.1904224455356598
409,Paraguay,1870,0.5888398885726929
410,Paraguay,1940,0.5487792491912842
411,Paraguay,1967,0.5146434903144836
412,Paraguay,1992,0.529969334602356
413,Peru,1822,1.0
414,Peru,1823,0.44804584980010986
415,Peru,1826,0.18936724960803986
416,Peru,1828,0.38473445177078247
417,Peru,1839,0.5995053648948669
418,Peru,1856,0.569108784198761
419,Peru,1860,0.628673255443573
420,Peru,1867,0.5342115163803101
421,Peru,2009,0.34580597281455994
