,country,year,similarity
0,Afghanistan,1923,0.0
1,Afghanistan,1931,0.18080946333077716
2,Afghanistan,1964,0.22184974203073515
3,Afghanistan,1977,0.3784317299014218
4,Afghanistan,1987,0.3616841112597044
5,Afghanistan,1990,0.3581870362009718
6,Afghanistan,2004,0.35145796091866316
7,Albania,1925,0.0
8,Albania,1928,0.5267450106989382
9,Albania,1939,0.5232538365040689
10,Albania,1946,0.6789351561541868
11,Albania,1976,0.8157146904322947
12,Albania,1998,0.7516435777685512
13,Algeria,1963,0.0
14,Algeria,1996,0.48390802082732687
15,Andorra,1993,0.0
16,Angola,1975,0.0
17,Angola,2010,0.489318411248492
18,Antigua Barbuda,1981,0.0
19,Argentina,1819,0.0
20,Argentina,1826,0.2528335502521788
21,Argentina,1853,0.4615407867845563
22,Armenia,1995,0.0
23,Armenia,2005,0.18041368091215704
24,Armenia,2015,0.3529283473145776
25,Australia,1901,0.0
26,Austria,1920,0.0
27,Austria,1934,0.40329044740617254
28,Azerbaijan,1991,0.0
29,Azerbaijan,1995,0.30421710364224513
30,Azerbaijan,2009,0.30626826255824563
31,Bahamas,1973,0.0
32,Bahrain,1973,0.0
33,Bahrain,2002,0.34275920142131944
34,Bangladesh,1972,0.0
35,Barbados,1966,0.0
36,Belarus,1994,0.0
37,Belgium,1831,0.0
38,Belize,1981,0.0
39,Benin,1964,0.0
40,Benin,1970,0.2620452422150192
41,Benin,1990,0.3057685692763105
42,Bhutan,1953,0.0
43,Bhutan,2008,0.5631042137355383
44,Bolivia,1826,0.0
45,Bolivia,1831,0.06301731907045097
46,Bolivia,1843,0.12226513174970234
47,Bolivia,1851,0.14671401290011304
48,Bolivia,1880,0.5184287389566611
49,Bolivia,1938,0.6310177787685658
50,Bolivia,1945,0.5764793596472917
51,Bolivia,1967,0.7361188200522005
52,Bolivia,2009,0.8263893581878531
53,BosniaAndHerzegovina,1995,0.0
54,Botswana,1966,0.0
55,Brazil,1824,0.0
56,Brazil,1891,0.7149221457578789
57,Brazil,1937,0.7411997833224908
58,Brazil,1946,0.7510031329809943
59,Brazil,1967,0.7714675011610662
60,Brazil,1988,0.8231224916992143
61,Bulgaria,1947,0.0
62,Bulgaria,1971,0.2955285489225614
63,Bulgaria,1991,0.5673320909691442
64,Burkina Faso,1960,0.0
65,Burkina Faso,1988,0.8129855665440731
66,Burkina Faso,1991,0.3562089015719371
67,Burundi,1962,0.0
68,Burundi,1974,0.6157018237589597
69,Burundi,1981,0.6772933263052449
70,Burundi,1992,0.662228558169816
71,Burundi,2004,0.7031164309152658
72,Burundi,2005,0.710791939361174
73,Cambodia,1947,0.0
74,Cambodia,1972,0.6217451939902118
75,Cambodia,1976,0.7604300587400612
76,Cambodia,1981,0.7269555975795408
77,Cambodia,1989,0.7109470694770634
78,Cambodia,1993,0.5301366032001824
79,Cameroon,1960,0.0
80,Cameroon,1961,0.7636754461772388
81,Cameroon,1972,0.7706839634937912
82,Canada,1791,0.0
83,Canada,1867,0.1278919017291304
84,Canada,2011,0.22743417644294125
85,Cape Verde,1980,0.0
86,Central African Republic,1981,0.0
87,Central African Republic,1994,0.2802862218781656
88,Central African Republic,2004,0.29678548183533987
89,Central African Republic,2013,0.6445700478782825
90,Chad,1960,0.0
91,Chad,1962,0.26649922630948075
92,Chad,1996,0.47622388597244547
93,Chile,1823,0.0
94,Chile,1828,0.31993403189320874
95,Chile,1833,0.35252224688724554
96,Chile,1925,0.5375279595915785
97,Chile,1980,0.7432067824174732
98,China,1914,0.0
99,China,1923,0.5660122324728557
100,China,1947,0.6761496192222883
101,China,1949,0.8072252339697441
102,China,1954,0.7848705875074373
103,China,1975,0.8272427672496568
104,China,1978,0.8277720969343002
105,China,1982,0.8012424749876922
106,Colombia,1811,0.0
107,Colombia,1830,0.8220312078224995
108,Colombia,1832,0.8233924249823517
109,Colombia,1843,0.8253515985054536
110,Colombia,1853,0.8213637955623894
111,Colombia,1858,0.8171294246918936
112,Colombia,1863,0.790152645185424
113,Colombia,1886,0.8194178447046442
114,Colombia,1991,0.829414264701798
115,Comoros,1996,0.0
116,Comoros,2001,0.47097654945249945
117,Congo,1963,0.0
118,Congo,1979,0.4948687218005706
119,Congo,1992,0.45496386331588523
120,Congo,2001,0.48788692893138
121,Costa Rica,1848,0.0
122,Costa Rica,1871,0.18585320572099334
123,Costa Rica,1917,0.545030988700632
124,Costa Rica,1949,0.7222645228056835
125,Croatia,1991,0.0
126,Cuba,1940,0.0
127,Cuba,1959,0.23933559292883502
128,Cuba,1976,0.6541696115635492
129,Cyprus,1960,0.0
130,Czech Republic,1993,0.0
131,Democratic Republic of the Congo,1964,0.0
132,Democratic Republic of the Congo,1967,0.6537452537611925
133,Democratic Republic of the Congo,2003,0.5096924113033193
134,Democratic Republic of the Congo,2005,0.44485874190197405
135,Denmark,1866,0.0
136,Denmark,1953,0.4097802848529133
137,Djibouti,1977,0.0
138,Djibouti,1992,0.28846524409265295
139,Dominica,1978,0.0
140,Dominican Republic,1821,0.0
141,Dominican Republic,1858,0.5089551290326193
142,Dominican Republic,1934,0.6687679161456462
143,Dominican Republic,1942,0.6448244985774958
144,Dominican Republic,1947,0.7113764613225397
145,Dominican Republic,1955,0.7062910094595165
146,Dominican Republic,1962,0.7141672041232234
147,Dominican Republic,1963,0.7124812898496008
148,Dominican Republic,1966,0.7138082566713689
149,Dominican Republic,1994,0.7136526586043043
150,Dominican Republic,2002,0.7417105069564065
151,Dominican Republic,2010,0.8191445485573818
152,East Timor,2002,0.0
153,Ecuador,1830,0.0
154,Ecuador,1869,0.4357134234047142
155,Ecuador,1884,0.4586299101232332
156,Ecuador,1897,0.5831950957661591
157,Ecuador,1906,0.47380161297252454
158,Ecuador,1946,0.6866397374001184
159,Ecuador,1967,0.7950953850763056
160,Ecuador,1978,0.7848033444323265
161,Ecuador,1997,0.7721058546896081
162,Ecuador,1998,0.7556376472028165
163,Ecuador,2008,0.7237390222380901
164,Egypt,1923,0.0
165,Egypt,1956,0.7750710624742156
166,Egypt,1971,0.7315017050612664
167,Egypt,2012,0.7863618015887229
168,Egypt,2014,0.8225388845798219
169,El Salvador,1824,0.0
170,El Salvador,1841,0.4776146647675586
171,El Salvador,1871,0.5664079982241728
172,El Salvador,1872,0.5621642052788428
173,El Salvador,1880,0.5655764368248666
174,El Salvador,1883,0.5628018701583004
175,El Salvador,1886,0.5653014478305086
176,El Salvador,1939,0.6478337338045689
177,El Salvador,1950,0.5781691683711179
178,Equatorial Guinea,1968,0.0
179,Equatorial Guinea,1973,0.528036609551694
180,Equatorial Guinea,1982,0.528101446597608
181,Equatorial Guinea,1991,0.45622731422717694
182,Eritrea,1997,0.0
183,Estonia,1920,0.0
184,Estonia,1937,0.4456513653419309
185,Estonia,1978,0.8304112719335442
186,Estonia,1992,0.35384839729729844
187,Ethiopia,1931,0.0
188,Ethiopia,1955,0.24341152709625466
189,Ethiopia,1987,0.8259451545472805
190,Ethiopia,1994,0.7723030644717425
191,Fiji,1970,0.0
192,Fiji,1990,0.281987423684151
193,Fiji,1997,0.6465116040376815
194,Fiji,2013,0.668564555126037
195,Finland,1919,0.0
196,Finland,1999,0.5678395400919026
197,France,1791,0.0
198,France,1793,0.31179367549277603
199,France,1795,0.5755074995426792
200,France,1799,0.5730600559128807
201,France,1802,0.5777303536974792
202,France,1804,0.5847625378811586
203,France,1814,0.5020335570893186
204,France,1830,0.5054160103467819
205,France,1848,0.5961428342418638
206,France,1852,0.6153121327541019
207,France,1875,0.6722875599530268
208,France,1946,0.7183441142985422
209,France,1958,0.7793876021200083
210,Gabon,1961,0.0
211,Gabon,1975,0.19229437573110011
212,Gabon,1991,0.3009326255068043
213,Gambia,1970,0.0
214,Gambia,1996,0.5350633565305641
215,Georgia,1995,0.0
216,Germany,1871,0.0
217,Germany,1919,0.10393599397008926
218,Ghana,1954,0.0
219,Ghana,1957,0.2609760041996718
220,Ghana,1960,0.7087335060653472
221,Ghana,1969,0.7582721788945452
222,Ghana,1992,0.8000339689100595
223,Great Colombia,1821,0.0
224,Greece,1952,0.0
225,Greece,1968,0.1866450784691156
226,Greece,1975,0.39320216395452706
227,Grenada,1974,0.0
228,Guatemala,1879,0.0
229,Guatemala,1945,0.5712561665938632
230,Guatemala,1956,0.6307108308385138
231,Guatemala,1965,0.6647933125569396
232,Guatemala,1985,0.7633975160268764
233,Guinea,1958,0.0
234,Guinea,1982,0.49732953986854134
235,Guinea,1990,0.32745637579524894
236,Guinea,2010,0.5637417639456636
237,Guinea Bissau,1973,0.0
238,Guinea Bissau,1984,0.2525204353926464
239,Guinea Bissau,1996,0.3646287390201402
240,Guyana,1966,0.0
241,Guyana,1970,0.3675435337045274
242,Guyana,1980,0.39028921559645163
243,Haiti,1801,0.0
244,Haiti,1805,0.7088489924616366
245,Haiti,1806,0.7022760605373982
246,Haiti,1811,0.6725138191628561
247,Haiti,1889,0.5651745336775102
248,Haiti,1950,0.6163463523386337
249,Haiti,1964,0.7160002182559305
250,Haiti,1983,0.7291914940151252
251,Haiti,1987,0.7477098097557849
252,Honduras,1839,0.0
253,Honduras,1848,0.17954269317689123
254,Honduras,1880,0.34023922728002026
255,Honduras,1894,0.6361348956111761
256,Honduras,1904,0.5879241255601502
257,Honduras,1924,0.6280322528270622
258,Honduras,1936,0.6453722861891341
259,Honduras,1957,0.7323932734344598
260,Honduras,1982,0.7471085341332077
261,Hungary,1919,0.0
262,Hungary,1920,0.7744447283143141
263,Hungary,1946,0.7518505905561733
264,Hungary,1949,0.6340434132314744
265,Hungary,2011,0.8109472080283622
266,Iceland,1874,0.0
267,Iceland,1920,0.28692586063290204
268,Iceland,1944,0.4330699401384672
269,India,1949,0.0
270,Indonesia,1945,0.0
271,Indonesia,2002,0.3957574641460813
272,Iran,1906,0.0
273,Iran,1979,0.637183701213513
274,Iraq,1925,0.0
275,Iraq,2005,0.7170542338053906
276,Ireland,1922,0.0
277,Ireland,1937,0.4213127210554021
278,Israel,1958,0.0
279,Italy,1848,0.0
280,Italy,1947,0.6248335620728244
281,Jamaica,1962,0.0
282,Japan,1889,0.0
283,Japan,1946,0.5253482197380424
284,Jordan,1946,0.0
285,Jordan,1952,0.4101811635016479
286,Kazakhstan,1995,0.0
287,Kenya,1963,0.0
288,Kenya,2010,0.5975314004966898
289,Kiribati,1979,0.0
290,Kosovo,2008,0.0
291,Kuwait,1962,0.0
292,Kyrgyz,1993,0.0
293,Kyrgyz,2007,0.3247114977210592
294,Kyrgyz,2010,0.30500569905882735
295,Laos,1947,0.0
296,Laos,1991,0.7646634819108346
297,Latvia,1919,0.0
298,Latvia,1922,0.6251265282579764
299,Latvia,1940,0.5539561541617206
300,Latvia,1991,0.6273676225822993
301,Lebanon,1926,0.0
302,Lesotho,1966,0.0
303,Lesotho,1983,0.25446964656082766
304,Lesotho,1993,0.0870930417351016
305,Liberia,1847,0.0
306,Liberia,1986,0.3843219451241975
307,Libya,1951,0.0
308,Libya,2011,0.6514591490582016
309,Liechtenstein,1818,0.0
310,Liechtenstein,1921,0.6140107874954946
311,Lithuania,1922,0.0
312,Lithuania,1928,0.09193017520539658
313,Lithuania,1938,0.09744195042630872
314,Lithuania,1992,0.1905146018481434
315,Luxembourg,1868,0.0
316,Macedonia,1991,0.0
317,Madagascar,1975,0.0
318,Madagascar,1992,0.40172160066346424
319,Madagascar,1998,0.5209681287429945
320,Madagascar,2010,0.6068821119967726
321,Malawi,1964,0.0
322,Malawi,1966,0.48711703650747085
323,Malawi,1994,0.6087485508812166
324,Malaysia,1957,0.0
325,Maldives,1998,0.0
326,Maldives,2008,0.3240621720462449
327,Mali,1969,0.0
328,Mali,1974,0.16748033793604195
329,Mali,1992,0.20148341045490553
330,Malta,1964,0.0
331,Marshall Islands,1979,0.0
332,Mauritania,1961,0.0
333,Mauritania,1978,0.26938220239813365
334,Mauritania,1985,0.32298250008995805
335,Mauritania,1991,0.3180009137657905
336,Mauritius,1968,0.0
337,Mexico,1824,0.0
338,Mexico,1836,0.40844339120876405
339,Mexico,1857,0.6999138790969103
340,Mexico,1917,0.6609651725460612
341,Micronesia,1981,0.0
342,Moldova,1978,0.0
343,Moldova,1994,0.8310721108874821
344,Monaco,1962,0.0
345,Mongolia,1924,0.0
346,Mongolia,1940,0.3488029469137517
347,Mongolia,1960,0.3701888112412991
348,Mongolia,1992,0.6902266565307295
349,Montenegro,1905,0.0
350,Montenegro,1992,0.8139319873653268
351,Montenegro,2007,0.8193410735938195
352,Morocco,1962,0.0
353,Morocco,1970,0.40319442220126994
354,Morocco,1972,0.1818811793923305
355,Morocco,2011,0.72195098226851
356,Mozambique,1975,0.0
357,Mozambique,1990,0.3610858006651024
358,Mozambique,2004,0.37426792796564634
359,Myanmar,1947,0.0
360,Myanmar,1962,0.7635874396159729
361,Myanmar,1974,0.8166570237905768
362,Myanmar,2008,0.8304725388987485
363,Namibia,1990,0.0
364,Nauru,1968,0.0
365,Nepal,1948,0.0
366,Nepal,1959,0.5150273694004883
367,Nepal,1962,0.40079051561625695
368,Nepal,1990,0.4960043521402922
369,Nepal,2006,0.5401586651363733
370,Netherlands,1795,0.0
371,Netherlands,1815,0.7927069066049318
372,New zealand,1852,0.0
373,Nicaragua,1858,0.0
374,Nicaragua,1893,0.25976748394934673
375,Nicaragua,1905,0.4444220030799534
376,Nicaragua,1911,0.39574416107458554
377,Nicaragua,1939,0.5238978918685615
378,Nicaragua,1948,0.5678578319545299
379,Nicaragua,1950,0.6044904378832027
380,Nicaragua,1974,0.6231049256970047
381,Nicaragua,1987,0.792298970248485
382,Niger,1960,0.0
383,Niger,1989,0.10863747277628621
384,Niger,1992,0.5458819968746413
385,Niger,1996,0.5455722781863849
386,Niger,1999,0.5458158834408287
387,Niger,2010,0.8312656846649599
388,Nigeria,1960,0.0
389,Nigeria,1963,0.2751306334139497
390,Nigeria,1978,0.2801596454719916
391,Nigeria,1989,0.3218110514148642
392,Nigeria,1999,0.5429023614634259
393,North Korea,1948,0.0
394,North Korea,1972,0.14267082578661502
395,North Korea,1998,0.21478746092548298
396,Norway,1814,0.0
397,Oman,1996,0.0
398,Pakistan,1956,0.0
399,Pakistan,1962,0.23710905918871353
400,Pakistan,1973,0.19789365375328377
401,Palau,1981,0.0
402,Panama,1904,0.0
403,Panama,1940,0.34018463716196934
404,Panama,1946,0.5589197178523189
405,Panama,1972,0.659912729902561
406,Papua New Guinea,1975,0.0
407,Paraguay,1813,0.0
408,Paraguay,1844,0.4966865969854248
409,Paraguay,1870,0.5960996495403293
