,code,country,1st_const_year,2nd_const_year,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,1st_2nd_stm,1st_current_stm,constitutional_time,first_regime_time,1st_2nd_tfidf_adj,1st_2nd_lda_adj,1st_2nd_use_adj,1st_2nd_stm_adj,1st_curr_tfidf_adj,1st_curr_lda_adj,1st_curr_use_adj,1st_curr_stm_adj
0,AFG,Afghanistan,1923,1931.0,0.37417805000000004,0.32702640000000005,0.4902039476655921,0.6341485178259931,0.05512329385488757,0.16696404413283683,0.1808094633307771,0.3514579609186631,99,8.0,0.046772256250000005,0.061275493458199014,0.006890411731860946,0.022601182916347138,0.00330329696969697,0.006405540584100941,0.0016865054962912811,0.0035500804133198295
1,ALB,Albania,1925,1928.0,0.5678114599999999,0.68041515,0.4374733644279304,0.7886223651372162,0.08287816714708862,0.10210305916574491,0.5267450106989382,0.7516435777685512,97,3.0,0.18927048666666665,0.14582445480931014,0.027626055715696207,0.1755816702329794,0.007014589175257732,0.008130127475641404,0.0010526088573788136,0.007748902863593311
2,DZA,Algeria,1963,1996.0,0.6501497,0.6501497,0.5368397261252649,0.5368397261252649,0.13296872219689815,0.13296872219689815,0.4839080208273268,0.4839080208273268,59,33.0,0.019701506060606062,0.01626787048864439,0.004029355218087823,0.014663879419009903,0.011019486440677967,0.009098978408902794,0.0022537071558796297,0.008201830861480115
3,AND,Andorra,1993,,,,,,,,,,29,29.0,,,,,,,,
4,AGO,Angola,1975,2010.0,0.3194342,0.3194342,0.5716225718386806,0.5716225718386806,0.30541141344115164,0.30541141344115164,0.489318411248492,0.489318411248492,47,35.0,0.00912669142857143,0.016332073481105158,0.008726040384032904,0.0139805260356712,0.006796472340425532,0.012162182379546395,0.006498115179598971,0.01041103002656366
5,ATG,Antigua Barbuda,1981,,,,,,,,,,41,41.0,,,,,,,,
6,ARG,Argentina,1819,1826.0,0.5462225,0.7900434000000001,0.2517267141378704,0.7332571734270331,0.01458493451459042,0.04393798903843904,0.2528335502521788,0.4615407867845563,203,7.0,0.07803178571428572,0.035960959162552916,0.0020835620735129173,0.036119078607454114,0.003891839408866995,0.003612104302596222,0.00021644329575585733,0.002273599934899292
7,ARM,Armenia,1995,2005.0,0.06148100000000001,0.3716579,0.122442635167816,0.3777321982099107,0.03428096971807837,0.0963556535249196,0.180413680912157,0.3529283473145776,27,10.0,0.006148100000000001,0.0122442635167816,0.0034280969718078367,0.0180413680912157,0.013765107407407407,0.013990081415181878,0.003568727908330355,0.013071420270910282
8,AUS,Australia,1901,,,,,,,,,,121,121.0,,,,,,,,
9,AUT,Austria,1920,1934.0,0.33546184999999995,0.33546184999999995,0.1136503331920562,0.1136503331920562,0.048903066903148384,0.048903066903148384,0.4032904474061725,0.4032904474061725,102,14.0,0.02396156071428571,0.008117880942289728,0.003493076207367742,0.02880646052901232,0.003288841666666666,0.001114218952863296,0.0004794418323838077,0.003953827915746789
10,AZE,Azerbaijan,1991,1995.0,0.07052373999999995,0.06488720000000003,0.4108837034454327,0.4113089213729315,0.2212169311922415,0.2184261661046515,0.3042171036422451,0.3062682625582456,31,4.0,0.017630934999999986,0.10272092586135817,0.055304232798060377,0.07605427591056127,0.0020931354838709688,0.013268029721707469,0.007046005358214564,0.009879621372846632
11,BHS,Bahamas,1973,,,,,,,,,,49,49.0,,,,,,,,
12,BHR,Bahrain,1973,2002.0,0.894770525,0.894770525,0.471551186569334,0.471551186569334,0.05750339107525915,0.05750339107525915,0.3427592014213194,0.3427592014213194,49,29.0,0.030854156034482758,0.016260385743770138,0.001982875554319281,0.011819282807631703,0.018260622959183674,0.009623493603455796,0.0011735385933726358,0.006995085743292232
13,BGD,Bangladesh,1972,,,,,,,,,,50,50.0,,,,,,,,
14,BRB,Barbados,1966,,,,,,,,,,56,56.0,,,,,,,,
15,BLR,Belarus,1994,,,,,,,,,,28,28.0,,,,,,,,
16,BEL,Belgium,1831,,,,,,,,,,191,191.0,,,,,,,,
17,BLZ,Belize,1981,,,,,,,,,,41,41.0,,,,,,,,
18,BEN,Benin,1964,1970.0,0.4616207,0.914463624,0.3310841009976211,0.5793712174704654,0.17009688304574977,0.06045488795279297,0.2620452422150192,0.3057685692763105,58,6.0,0.07693678333333333,0.05518068349960351,0.028349480507624963,0.04367420703583653,0.015766614206896554,0.009989158921904575,0.0010423256543584994,0.005271871884074319
19,BTN,Bhutan,1953,2008.0,0.7397624,0.7397624,0.5798510482686507,0.5798510482686507,0.42081452759073834,0.42081452759073834,0.5631042137355383,0.5631042137355383,69,55.0,0.013450225454545455,0.010542746332157286,0.007651173228922515,0.010238258431555241,0.010721194202898552,0.008403638380705084,0.006098761269430991,0.008160930633848382
20,BOL,Bolivia,1826,1831.0,0.4295181,0.85419834,0.1756898112360465,0.8324257358728214,0.006509150755104831,0.2543014484931583,0.0630173190704509,0.8263893581878531,196,5.0,0.08590362,0.035137962247209296,0.0013018301510209663,0.01260346381409018,0.004358154795918367,0.0042470700809837825,0.0012974563698630525,0.004216272235652312
21,BIH,BosniaAndHerzegovina,1995,,,,,,,,,,27,27.0,,,,,,,,
22,BWA,Botswana,1966,,,,,,,,,,56,56.0,,,,,,,,
23,BRA,Brazil,1824,1891.0,0.88681298,0.902585074,0.4572294408682359,0.8096354680364491,0.058620367778417615,0.3015444523113866,0.7149221457578789,0.8231224916992143,198,67.0,0.013236014626865671,0.006824320012958745,0.000874930862364442,0.010670479787431028,0.004558510474747475,0.004089068020386106,0.0015229517793504373,0.004157184301511183
24,BGR,Bulgaria,1947,1971.0,0.46723294000000004,0.48781395000000005,0.4030430466495423,0.6959209565901505,0.04643947126270398,0.07318119922901622,0.2955285489225614,0.5673320909691442,75,24.0,0.01946803916666667,0.016793460277064264,0.0019349779692793324,0.012313689538440059,0.006504186,0.009278946087868674,0.0009757493230535497,0.007564427879588589
25,BFA,Burkina Faso,1960,1988.0,0.923918046,0.942904733,0.8322413362858245,0.6662028209020739,0.23001554489984022,0.11402864259473788,0.8129855665440731,0.3562089015719371,62,28.0,0.03299707307142857,0.029722904867350877,0.008214840889280008,0.029035198805145466,0.01520814085483871,0.010745206788743128,0.0018391716547538368,0.005745304864063501
26,BDI,Burundi,1962,1974.0,0.41929185,0.80956571,0.5365899088218161,0.724733696732149,0.10679735540596835,0.19198231492289397,0.6157018237589597,0.710791939361174,60,12.0,0.0349409875,0.04471582573515134,0.00889977961716403,0.05130848531324664,0.013492761833333334,0.012078894945535818,0.0031997052487148995,0.011846532322686234
27,KHM,Cambodia,1947,1972.0,0.888758264,0.69898394,0.5031897603880783,0.5585419957654306,0.06916978539258556,0.12160394612954684,0.6217451939902118,0.5301366032001824,75,25.0,0.03555033056,0.02012759041552313,0.0027667914157034224,0.02486980775960847,0.009319785866666666,0.007447226610205741,0.001621385948393958,0.007068488042669099
28,CMR,Cameroon,1960,1961.0,0.90131079,0.978084853,0.8016318293104643,0.7931868154666932,0.300576584180148,0.2929393088384198,0.7636754461772388,0.7706839634937912,62,1.0,0.90131079,0.8016318293104643,0.300576584180148,0.7636754461772388,0.01577556214516129,0.012793335733333761,0.004724827561909997,0.012430386507964374
29,CAN,Canada,1791,1867.0,0.6815868,0.7058462,0.4692514915869393,0.5359176454119414,0.08352512198706197,0.1285695809563987,0.1278919017291304,0.2274341764429412,231,76.0,0.008968247368421053,0.006174361731407096,0.0010990147629876574,0.0016827881806464526,0.0030556112554112553,0.0023199898069781013,0.0005565782725385225,0.0009845635343850268
30,CPV,Cape Verde,1980,,,,,,,,,,42,42.0,,,,,,,,
31,CAF,Central African Republic,1981,1994.0,0.5365651499999999,0.90033621,0.3305752188157286,0.5279137815393113,0.04049405854217236,0.08802398684896484,0.2802862218781656,0.6445700478782825,41,13.0,0.041274242307692305,0.025428862985825276,0.003114927580167105,0.021560478606012737,0.02195941975609756,0.012875945891202716,0.0021469265085113376,0.01572122067995811
