,codes,country,year_1st,year_2nd,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,years_const,years_1st_const,change_1st_2nd_adj_tfidf,change_1st_2nd_adj_lda,change_1st_2nd_adj_use,change_1st_curr_adj_allyears_tfidf,change_1st_curr_adj_allyears_lda,change_1st_curr_adj_allyears_use,1870_ahdi,1880_ahdi,1890_ahdi,1900_ahdi,1913_ahdi,1925_ahdi,1929_ahdi,1933_ahdi,1938_ahdi,1950_ahdi,1955_ahdi,1960_ahdi,1965_ahdi,1970_ahdi,1975_ahdi,1980_ahdi,1985_ahdi,1990_ahdi,1995_ahdi,2000_ahdi,2005_ahdi,2007_ahdi,2010_ahdi,2015_ahdi
0,AFG,Afghanistan,1923,1931.0,0.3536304,0.30351680000000003,0.4902039476655921,0.6341485178259931,0.05512329385488757,0.16696404413283683,99,8.0,0.0442038,0.061275493458199014,0.006890411731860946,0.003065826262626263,0.006405540584100941,0.0016865054962912811,,,,,,,,,,0.05146282261612998,0.05572364662746237,0.06145894775312859,0.07179087950700631,0.08498969111373593,0.07412382256716032,0.07863214842307886,0.08990430544363341,0.09020873357166888,0.07384855957596856,0.07132659515414852,0.12708128194954524,0.14606183258590386,0.16694815481446162,0.20486979948346248
1,ALB,Albania,1925,1928.0,0.5134473399999999,0.63634098,0.4374733644279304,0.7886223651372162,0.08287816714708862,0.10210305916574491,97,3.0,0.1711491133333333,0.14582445480931014,0.027626055715696207,0.006560216288659793,0.008130127475641404,0.0010526088573788136,0.031549020545133366,0.02944162787235,0.03035010319797362,0.03245469812960549,0.055314322892616,0.07583291945383766,0.08346427898860027,0.09228451280234368,0.09230123014032951,0.12652289267123779,0.13408091818800744,0.1450278279652662,0.15401473317659978,0.17489830124792502,0.19257510053865037,0.21701679435273907,0.2375451904974355,0.25934483905808975,0.3740765732826959,0.41891208467079183,0.47056240293942686,0.49453505071106685,0.49800957593808565,0.4888316328737293
2,DZA,Algeria,1963,1996.0,0.6509471499999999,0.6509471499999999,0.5368397261252649,0.5368397261252649,0.13296872219689815,0.13296872219689815,59,33.0,0.01972567121212121,0.01626787048864439,0.004029355218087823,0.01103300254237288,0.009098978408902794,0.0022537071558796297,0.04152215018363819,0.041779664263469476,0.04778348928735298,0.05407906126535084,0.06511184590458338,0.0671311495398125,0.07193790977284259,0.07409879506848574,0.07891077285169029,0.1007574059008798,0.10180431339184758,0.08911796893021591,0.11230737956656035,0.1265185583185342,0.14372184424130652,0.17830163848548836,0.20691197466700784,0.24646748526658352,0.24865321815931596,0.2711404475805587,0.28501840010129353,0.29128030676893407,0.3009457717623512,0.32660724899397076
3,AND,Andorra,1993,,,,,,,,29,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AGO,Angola,1975,2010.0,0.31744342999999997,0.31744342999999997,0.5716225718386806,0.5716225718386806,0.30541141344115164,0.30541141344115164,47,35.0,0.009069812285714286,0.016332073481105158,0.008726040384032904,0.006754115531914893,0.012162182379546395,0.006498115179598971,0.019288932839375723,0.01934197557348731,0.01945804716428042,0.027243874779781956,0.027388358022392444,0.027329286247517338,0.02749506435722895,0.02701395440624066,0.031004182800054583,0.03554572290655328,0.03770730184464278,0.040831627903645175,0.05002874661414422,0.05761748473230416,0.07254416372507813,0.0818923291210195,0.08959858527704537,0.10076391289298457,0.113723182763371,0.12077292823537827,0.15204791372012147,0.1703911178261353,0.1897039149799292,0.21039944076149314
5,ATG,Antigua Barbuda,1981,,,,,,,,41,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ARG,Argentina,1819,1826.0,0.50548896,0.79430464,0.2517267141378704,0.7332571734270331,0.01458493451459042,0.04393798903843904,203,7.0,0.07221270857142857,0.035960959162552916,0.0020835620735129173,0.003912830738916256,0.003612104302596222,0.00021644329575585733,0.1235446200905021,0.13069787591026527,0.14921101825841263,0.1511653445416249,0.1879856454693683,0.23772567839027148,0.25024395554027734,0.23007219257170278,0.24123422936918137,0.2770790396720847,0.2397505710929436,0.33829800705232727,0.3641634567274756,0.2543589755394588,0.37427839329202184,0.238920976675535,0.45617541163067815,0.45297223957155497,0.4755285069568365,0.49297576878555094,0.5138391530577011,0.5171588504839454,0.5240444170251837,0.5448302450701372
7,ARM,Armenia,1995,2005.0,0.06451123999999997,0.37196136,0.122442635167816,0.3777321982099107,0.03428096971807837,0.0963556535249196,27,10.0,0.006451123999999997,0.0122442635167816,0.0034280969718078367,0.013776346666666668,0.013990081415181878,0.003568727908330355,,,,,,,,,,,,,,,,0.22766658914733204,0.23764117924987488,0.4292202985218627,0.39330927311795016,0.39300690175034625,0.39409996362390337,0.40959976932973013,0.4209064391136208,0.4552333916913683
8,AUS,Australia,1901,,,,,,,,121,121.0,,,,,,,0.24078893696887715,0.2687394614322675,0.2978894053541336,0.3351793769523351,0.4000790050863143,0.430905986969338,0.43426743568683884,0.4527920904740515,0.46698916216057024,0.5078557147200511,0.522872902143118,0.5382102114849086,0.5455228870255265,0.5636614499080628,0.6024002189949016,0.6428653976435473,0.6671416602411149,0.7039414398955866,0.7314921292827631,0.7567782435905822,0.7964775035728601,0.7510900137562246,0.8196822820113537,0.826189641875539
9,AUT,Austria,1920,1934.0,0.33821710000000005,0.33821710000000005,0.1136503331920562,0.1136503331920562,0.048903066903148384,0.048903066903148384,102,14.0,0.02415836428571429,0.008117880942289728,0.003493076207367742,0.003315853921568628,0.001114218952863296,0.0004794418323838077,0.1501926801499312,0.15563118394998843,0.17363618405865708,0.19726738163041024,0.22794234064638055,0.3069273999999572,0.33344380418379604,0.23488846849518652,0.22025799434400412,0.39353658454623974,0.42948756206741073,0.45753253999137683,0.478400946227385,0.5005013689705451,0.5336727786320637,0.5657239557564132,0.5877159493308454,0.611580079527371,0.6373449774469607,0.6618087710060334,0.6771895289355363,0.6379433511995221,0.7026139202150353,0.7067516718775259
