,country,year,similarity
0,Afghanistan,1923,1.0000004
1,Afghanistan,1931,0.6304602
2,Afghanistan,1964,0.24936606
3,Afghanistan,1977,0.29086438
4,Afghanistan,1987,0.7385532
5,Afghanistan,1990,0.7327385
6,Afghanistan,2004,0.7017615
7,Albania,1925,0.9999994
8,Albania,1928,0.4367737
9,Albania,1939,0.20622714
10,Albania,1946,0.32845533
11,Albania,1976,0.18094729
12,Albania,1998,0.32093078
13,Algeria,1963,0.9999998
14,Algeria,1996,0.3572196
15,Andorra,1993,1.0000008
16,Angola,1975,0.99999994
17,Angola,2010,0.68416095
18,Antigua Barbuda,1981,1.0
19,Argentina,1819,1.0000002
20,Argentina,1826,0.48260233
21,Argentina,1853,0.16541259
22,Armenia,1995,0.99999976
23,Armenia,2005,0.93095005
24,Armenia,2015,0.6094622
25,Australia,1901,0.99999994
26,Austria,1920,1.0000008
27,Austria,1934,0.67081255
28,Austria Hungary,1849,0.9999991
29,Azerbaijan,1991,1.0000001
30,Azerbaijan,1995,0.925662
31,Azerbaijan,2009,0.932867
32,Baden,1818,0.99999994
33,Bahamas,1973,0.99999964
34,Bahrain,1973,0.99999994
35,Bahrain,2002,0.10591168
36,Bangladesh,1972,0.99999976
37,Barbados,1966,0.9999998
38,Bavaria,1808,1.0000004
39,Bavaria,1818,0.3717779
40,Belarus,1994,1.0
41,Belgium,1831,0.9999998
42,Belize,1981,1.0000005
43,Benin,1964,1.0000001
44,Benin,1970,0.5382124
45,Benin,1990,0.08671288
46,Bhutan,1953,0.99999994
47,Bhutan,2008,0.25693992
48,Bolivia,1826,1.0000007
49,Bolivia,1831,0.63173056
50,Bolivia,1843,0.38286042
51,Bolivia,1851,0.45582202
52,Bolivia,1880,0.34982198
53,Bolivia,1938,0.26289198
54,Bolivia,1945,0.35805282
55,Bolivia,1967,0.2641683
56,Bolivia,2009,0.14445564
57,BosniaAndHerzegovina,1995,1.0000001
58,Botswana,1966,1.0000029
59,Brazil,1824,1.0000005
60,Brazil,1891,0.12151243
61,Brazil,1937,0.2072878
62,Brazil,1946,0.21109703
63,Brazil,1967,0.17083634
64,Brazil,1988,0.0995979
65,Bulgaria,1947,0.99999946
66,Bulgaria,1971,0.53547585
67,Bulgaria,1991,0.5146611
68,Burkina Faso,1960,0.9999999
69,Burkina Faso,1988,0.075760715
70,Burkina Faso,1991,0.0567761
71,Burundi,1962,0.9999997
72,Burundi,1974,0.57815146
73,Burundi,1981,0.36529174
74,Burundi,1992,0.16187431
75,Burundi,2004,0.19220643
76,Burundi,2005,0.19501333
77,Cambodia,1947,0.9999996
78,Cambodia,1972,0.10969011
79,Cambodia,1976,0.33961904
80,Cambodia,1981,0.018394208
81,Cambodia,1989,0.29771426
82,Cambodia,1993,0.29276076
83,Cameroon,1960,0.9999999
84,Cameroon,1961,0.09511332
85,Cameroon,1972,0.015608574
86,Canada,1791,0.99999976
